TULLN - KREMS    46.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Nußallee 18
    0.0 km   Turn right
    0.1 km   Turn right
    0.1 km   Turn left
    0.7 km   Turn right onto Badhausweg
    0.7 km   Turn sharp left
  ★ 1.2 km  [see] Tulln Gardens
  ★ 1.2 km  [bike_parking] Bike Parking
    1.7 km   Continue onto Am Wasserpark
    1.7 km   Turn right
    1.9 km   Turn right
    1.9 km   Turn right
    2.1 km   Turn sharp right (follow 1.0 km)
    3.2 km   Continue onto Tullner Straße
    4.1 km   Continue onto Austraße (follow 1.8 km)
    5.9 km   Turn right onto Hauptstraße
    6.7 km   Keep right onto Feldgasse (follow 2.0 km)
    8.6 km   Turn right
    8.7 km   Turn left
    8.9 km   Turn right
    9.4 km   Turn right
  ★ 9.5 km  [caution] Cross dangerous road
  ★ 10.2 km  [caution] Walk over bridge
   10.3 km   Turn right (follow 1.6 km)
   11.9 km   Turn right (follow 1.1 km)
   13.0 km   Turn right (follow 2.0 km)
   15.0 km   Turn right onto Sonnenweg
   15.0 km   Keep right onto Treppelweg (follow 4.1 km)
  ★ 15.2 km  [see] AKW Zwentendorf — Nuclear Power Station (never used)
  ★ 15.3 km  [food] Bärndorferhütte
   19.2 km   Turn right
   19.4 km   Turn left onto Treppelweg (follow 21.3 km)
  ★ 27.6 km  [food] Donau restaurant — Donaustrasse 64
  ★ 28.8 km  [see] Schloss Traismauer
   40.7 km   Turn sharp left
   40.7 km   Turn sharp right (follow 2.2 km)
   42.9 km   Turn right
   43.0 km   Turn right
   43.3 km   Turn left
   43.6 km   Turn right
   43.7 km   Turn left
   44.5 km   Continue onto Linke Kremszeile
   44.6 km   Turn slight left onto Hohensteinstraße
   44.6 km   Turn sharp left onto Wachaustraße
   44.7 km   Turn right onto Eyblparkstraße (follow 1.7 km)
  ★ 44.8 km  [dock/stay] Hotel Klinglhuber Gastehaus
   46.4 km   Turn right onto Dr.-Karl-Dorrek-Straße
   46.9 km   Turn left
  ★ 46.9 km  [dock/stay] Hotel Arte Krems — Dr.-Karl-Dorrek-Straße 23
  ★ 46.9 km  [bike_parking] Bike Parking
