UITGEEST - ALKMAAR - UITGEEST    34.7 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Continue onto Meldijk
    0.5 km   Turn right onto Hoorne
    0.7 km   Turn right onto Populierenlaan
    1.0 km   Continue onto Parallelweg (follow 2.7 km)
    3.6 km   Turn right onto Fielkerweg
    4.4 km   Turn right onto Boschweg
    4.5 km   Turn left onto Hennie Groot Schermerpad
    5.5 km   Turn left onto Hennie Groot Schermerpad
    5.9 km   Turn slight left onto Klaas Hoornlaan
    6.0 km   Turn right onto Kerklaan
    6.3 km   Turn left onto Meerweg
    6.7 km   Turn right onto Hoogegeest (follow 1.2 km)
    7.9 km   Turn left (follow 1.9 km)
    9.8 km   Turn left
    9.8 km   Turn right onto Boekelermeerweg
   10.8 km   Turn left
   10.9 km   Turn left onto Barnsteenstraat
   11.0 km   Turn left
   11.1 km   Turn left
   11.2 km   Turn right onto Barnsteenstraat
   11.2 km   Turn right
   11.3 km   Turn left onto Boekelermeerweg (follow 1.9 km)
   13.3 km   Turn left onto Oude Heilooërdijk
   13.6 km   Turn slight right onto Hadewijchstraat
   13.8 km   Turn left onto Koelmalaan
   14.1 km   Turn right onto Camphuysenkade
   14.2 km   Continue onto Camphuysenstraat
   14.4 km   Continue onto Cuwaertpad
   14.6 km   Turn left onto Oosterhoutlaan
   14.8 km   Turn sharp right onto Vondelstraat
   15.1 km   Turn slight right onto Vondelstraat
   15.3 km   Continue onto Limmerhoek
   15.7 km   Turn slight right onto Wageweg
   15.9 km   Turn right
   15.9 km   Turn left
   15.9 km   Turn left
   16.1 km   Continue onto Kanaalkade
   16.2 km   Make a U-turn onto Kanaalkade
   16.3 km   Turn right onto Kaarsemakersgracht
   16.4 km   Turn right onto Schapenbrug
   16.5 km   Turn sharp left onto Waagplein
   16.6 km   Turn slight right onto Mient
   16.8 km   Turn right onto Oudegracht
   16.9 km   Turn left onto Ridderstraatbrug
   17.0 km   Turn right onto Kennemerpark
   17.3 km   Turn left onto Ritsevoort
   17.3 km   Turn right onto Kennemerstraatweg
   17.4 km   Turn left onto Kennemerstraatweg
   17.6 km   Turn right onto Metiusgracht
   18.0 km   Turn sharp left onto Prinses Julianalaan
   18.2 km   Turn left onto Wilhelminalaan
   18.2 km   Turn left onto Prins Bernhardlaan (follow 2.4 km)
   20.6 km   Turn right onto Willibrordusweg
   20.7 km   Turn right onto Holleweg
   20.7 km   Turn left onto Holleweg
   21.7 km   Turn left
   21.8 km   At roundabout, take exit 1 onto Heerenweg
   22.5 km   Turn left onto Zevenhuizerlaan
   22.5 km   Turn right onto Hoogeweg
   22.8 km   Turn right onto Groeneweg
   23.1 km   Turn right onto Groeneweg (follow 2.3 km)
   25.4 km   Turn left onto Burgemeester Nieuwenhuijsenstraat
   25.8 km   Make a U-turn onto Rijksweg
   25.9 km   Turn right onto Kerkweg
   26.3 km   Turn right onto Dusseldorperweg
   26.8 km   Turn left onto Dusseldorperweg
   27.1 km   Turn left onto Schoolweg
   27.6 km   Turn right onto Hazelaantje
   27.9 km   Turn left onto Provincialeweg
   28.5 km   Turn right onto Gerbrandsven
   29.0 km   At roundabout, take exit 2 onto De Bloemen
   29.1 km   Turn left onto Korte Brakersweg
   29.8 km   Turn right
   30.8 km   Turn left onto Uitgeesterweg (follow 2.1 km)
   32.8 km   Turn right onto Koogdijk
   32.9 km   Turn left onto Sternstraat
   33.0 km   Turn right onto Benesserlaan
   33.0 km   Turn left onto Plevierstraat
   33.2 km   Turn right onto Kooglaan
   33.3 km   Turn left onto Melis Stokelaan
   33.6 km   Turn right
   33.6 km   Turn slight right onto Castricummerweg
   33.7 km   Turn left onto Kerkbuurt
   33.8 km   Turn right onto Cornelis Corneliszoonstraat
   33.8 km   Turn right onto Cornelis Corneliszoonstraat
   33.9 km   Turn left onto Burgemeester van Nienesstraat
   34.0 km   Turn left onto Middelweg
   34.1 km   Turn right onto Meldijk
   34.5 km   Continue onto Sluisbuurt
