UITGEEST - CASTRICUM - DUNES - UITGEEST  (INCLUDING PANCAKES)    32.0 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Continue onto Meldijk
    0.6 km   Turn left onto Middelweg
    0.7 km   Turn right onto Burgemeester van Nienesstraat
    0.9 km   Turn left onto Castricummerweg
    1.1 km   Turn right
    1.1 km   Turn slight left
    1.2 km   Turn slight right onto Melis Stokelaan
    1.3 km   Turn right onto Kooglaan
    1.4 km   Turn left onto Plevierstraat
    1.6 km   Turn right onto Benesserlaan
    1.6 km   Turn left onto Sternstraat
    1.7 km   Turn right onto Koogdijk
    1.8 km   Turn left onto Uitgeesterweg
    2.6 km   Turn right onto Uitgeesterweg (follow 1.7 km)
    4.3 km   Turn right
    4.4 km   Turn left onto Rietkamp
    5.0 km   Turn right onto Breedeweg
    5.1 km   Turn left onto Breedeweg
    5.3 km   Continue onto Verlegde Overtoom
    5.5 km   Turn left onto Dorpsstraat
    5.7 km   Turn right onto Stationsweg
    6.1 km   Turn left
    6.1 km   Turn right onto Kramersweg
    7.0 km   Keep right onto Duinenboschweg
    7.5 km   Turn right onto Oude Parklaan
    7.8 km   Turn right onto Oude Parklaan
    8.1 km   Turn left onto Zeeweg
    8.7 km   Turn right
  ★ 8.7 km  [note] Pancake restaurant
    9.6 km   Turn left onto Staringweg (follow 2.8 km)
   12.4 km   Turn slight left onto Staringweg
   12.4 km   Keep left onto Van Oldenborghweg (follow 5.1 km)
  ★ 17.3 km  [note] Beach entrance
   17.5 km   Turn slight right onto Van Oldenborghweg (follow 3.8 km)
   21.3 km   Turn left onto Zwarteweg (follow 3.3 km)
   24.6 km   Turn slight right onto Kraaiennest
   24.7 km   Turn left onto Duinweg
   24.7 km   Turn right onto Rijksstraatweg
   24.8 km   Turn left
   25.5 km   Turn left onto Marquettelaan
   26.2 km   At roundabout, take exit 2 onto Marquettelaan
   26.4 km   At roundabout, take exit 1 onto Marquettelaan
   26.6 km   Turn left onto Deutzstraat
   26.8 km   At roundabout, take exit 2 onto Kerkplein
   26.8 km   Turn left onto Zaalberglaan
   26.9 km   Turn left onto Gerrit van Assendelftstraat
   27.0 km   Turn left onto Gerrit van Assendelftstraat
   27.0 km   Turn right onto Maerelaan
   27.4 km   At roundabout, take exit 2 onto Maerelaan
   27.7 km   At roundabout, take exit 3
   28.2 km   At roundabout, take exit 2 onto Breedweerlaan
   28.3 km   Turn slight left onto Breedweerlaan
   28.4 km   Keep right onto Anna Polakstraat
   28.4 km   Keep left onto Tolpad
   29.1 km   Turn right onto De Vrede
   29.1 km   Turn right onto De Vrede
   29.1 km   Turn slight left onto De Vrede
   29.2 km   Keep right onto Anna van Renesselaan
   29.3 km   Turn left onto De Krijgsman
   29.6 km   Turn right onto De Krijgsman
   29.9 km   Turn right onto Geesterweg
   29.9 km   Turn left onto Geesterweg
   30.3 km   Turn right onto Prinses Beatrixlaan
   30.5 km   Turn right onto Hogeweg
   30.6 km   Turn left onto Verzetstraat 1940-1945
   30.7 km   Turn right onto Middelweg
   30.7 km   Turn left onto Gladiolenpad
   30.8 km   Turn left onto Westergeest
   31.4 km   Turn right onto Meldijk
   31.8 km   Continue onto Sluisbuurt
