UITGEEST - DUNES/BEACH - WIJK AAN ZEE - BEVERWIJK - UITGEEST    33.4 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Blijf op Meldijk
    0.5 km   Linksaf naar Langebuurt
    0.7 km   Rechtsaf naar Dokter Brugmanstraat
    0.8 km   Linksaf naar Middelweg
    1.1 km   Rechtsaf naar Prinses Beatrixlaan
    1.4 km   Linksaf naar Geesterweg
    1.9 km   Ga rechtsaf naar Geesterweg
    1.9 km   Linksaf naar Geesterweg
    2.2 km   Linksaf naar De Krijgsman
    2.4 km   Rechtsaf naar Anna van Renesselaan
    2.5 km   Houd links aan naar De Vrede
    2.6 km   Houd rechts aan naar De Vrede
    2.6 km   Linksaf naar De Vrede
    2.7 km   Linksaf naar Tolpad
    3.3 km   Blijf op Anna Polakstraat
    3.4 km   Houd links aan naar Breedweerlaan
    3.4 km   Houd rechts aan naar Breedweerlaan
    3.5 km   Neem afslag 2 naar Maerelaan
    3.9 km   Houd rechts aan
    4.0 km   Neem afslag 4
    4.0 km   Houd rechts aan naar Maerelaan
    4.3 km   Neem afslag 2 naar Maerelaan
    4.8 km   Linksaf naar Gerrit van Assendelftstraat
    4.8 km   Rechtsaf naar Gerrit van Assendelftstraat
    4.9 km   Rechtsaf naar Zaalberglaan
    4.9 km   Rechtsaf naar Kerkplein
    5.0 km   Neem afslag 2 naar Deutzstraat
    5.1 km   Rechtsaf naar Marquettelaan
    5.3 km   Neem afslag 2 naar Marquettelaan
    6.2 km   Rechtsaf naar Kerkweg
    6.9 km   Rechtsaf naar Rijksstraatweg
    7.0 km   Linksaf naar Duinweg
    7.0 km   Houd rechts aan naar Kraaiennest
    7.2 km   Houd links aan naar Kruisberg (follow 2.8 km)
   10.0 km   Linksaf naar Meeuwenweg (follow 1.5 km)
  ★ 10.3 km  [note] Beach
   11.5 km   Rechtsaf naar Meeuwenweg (follow 1.2 km)
   12.7 km   Houd rechts aan
   13.2 km   Houd links aan naar Kaagweg
   13.5 km   Ga rechtsaf
   13.6 km   Rechtsaf naar Kaagweg
   13.6 km   Houd links aan naar Wim Mensinkstraat
   14.3 km   Houd rechts aan naar Meeuweweg
   14.6 km   Linksaf naar Verlengde Voorstraat
   15.0 km   Linksaf naar Duinrand
   15.0 km   Houd rechts aan naar Zeestraat
   15.2 km   Linksaf
   15.2 km   Linksaf
   15.2 km   Rechtsaf
   15.3 km   Linksaf naar Zeestraat (follow 1.7 km)
   17.0 km   Houd links aan naar Zeestraat
   17.4 km   Rechtsaf naar Zeestraat
   17.4 km   Linksaf naar Zeestraat
   18.0 km   Rechtsaf
   18.1 km   Houd rechts aan naar Westerhoutplein
   18.2 km   Houd rechts aan naar Westerhoutweg
   18.6 km   Houd links aan naar Holland op zijn smalst
   19.4 km   Linksaf naar Velserweg
   19.7 km   Linksaf naar Velserweg
   19.7 km   Houd rechts aan naar Velserweg
   19.8 km   Houd rechts aan
   19.9 km   Ga rechtsaf naar Velserweg
   19.9 km   Houd rechts aan naar Velserweg
   20.0 km   Rechtsaf naar Breestraat
   21.0 km   Houd links aan naar Beatrixlaan
   21.4 km   Rechtsaf naar Sint Aagtendijk
   21.6 km   Houd rechts aan naar Sint Aagtendijk
   21.9 km   Rechtsaf naar Aagtenpoort
   22.3 km   Linksaf naar Parallelweg
   22.3 km   Rechtsaf naar De Meerlanden
   22.4 km   Linksaf naar De Meerlanden
   22.4 km   Rechtsaf naar Sint Aagtendijk
   22.6 km   Blijf op Sint Aagtendijk
   22.8 km   Ga linksaf naar Sint Aagtendijk
   23.6 km   Houd rechts aan naar Sint Aagtendijk
   24.0 km   Rechtsaf
   24.0 km   Rechtsaf naar Sint Aagtendijk
   24.5 km   Rechtsaf naar Nieuwendijk
   25.3 km   Linksaf naar Groenedijk (follow 1.9 km)
   27.2 km   Rechtsaf
   27.3 km   Houd rechts aan naar Busch en Dam
   27.8 km   Blijf op Busch en Dam
   28.7 km   Rechtsaf naar Provincialeweg
   28.8 km   Linksaf naar Busch en Dam
