UTRECHT (NEUDE) - KEULSEKADE    3.4 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Potterstraat
    0.3 km   Turn slight right onto Vredenburg
    0.8 km   Keep right onto Van Sijpesteijnkade
    1.0 km   Turn right onto Westplein
    1.1 km   Turn left onto Westplein
    1.1 km   Turn left onto Leidseweg
    1.8 km   Continue onto Muntbrug
    1.9 km   Turn right onto Kanaalweg
    2.3 km   Turn right
    2.4 km   Turn right
    2.5 km   Continue onto Keulsekade
    2.5 km   Turn left onto Keulsekade
