VENLO - CUIJK    61.9 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Links abbiegen auf Havenkade
    0.3 km   Dem Straßenverlauf von Maaskade folgen
    0.6 km   Rechts halten auf Maaskade
    0.6 km   Im Kreisverkehr Ausfahrt 4 auf Maaskade nehmen
    1.2 km   Links abbiegen auf Groeneweg
    2.0 km   Dem Straßenverlauf von Groeneweg folgen
    2.1 km   Rechts halten auf Groeneweg
    2.4 km   Rechts abbiegen auf Groeneweg
    2.6 km   Links abbiegen auf Genooyerweg
    2.7 km   Rechts abbiegen auf Genooyerkapelweg
    2.9 km   Links abbiegen
    2.9 km   Links abbiegen
    3.8 km   Links abbiegen auf De Krosselt
    4.1 km   Rechts abbiegen auf Genooierweg
    5.0 km   Links abbiegen auf Vorstweg (follow 1.1 km)
    6.1 km   Dem Straßenverlauf von Stappersstraat folgen
    6.5 km   Links abbiegen auf Veerweg
    7.0 km   Achtung, auf Fähre umsteigen (Grubbenvorst-Velden)
    7.1 km   Fähre verlassen und dem Straßenverlauf von Dorpstraat folgen
    7.6 km   Links abbiegen auf Dorpstraat
    7.6 km   Rechts abbiegen auf Dorpstraat
    7.8 km   Leicht links abbiegen auf Kloosterstraat
    7.8 km   Leicht rechts abbiegen auf Kloosterstraat
    8.1 km   Rechts halten auf Kloosterstraat
    8.3 km   Rechts halten
    8.3 km   Rechts halten
    8.4 km   Leicht rechts abbiegen auf Steegerakkerweg
    8.4 km   Dem Straßenverlauf von Steegerakkerweg folgen
    8.4 km   Links abbiegen auf Schoolstraat
    8.5 km   Rechts abbiegen auf Ursulinenweide
    8.7 km   Dem Straßenverlauf von Ursulinenweide folgen
    9.3 km   Rechts abbiegen auf Broekeindweg
   10.0 km   Links abbiegen auf Kaldenbroek
   10.6 km   Leicht rechts abbiegen auf Stationsweg
   11.4 km   Rechts abbiegen auf Meerlosebaan
   11.5 km   Links abbiegen auf Meerlosebaan (follow 3.0 km)
   14.5 km   Rechts abbiegen auf Horsterweg (follow 1.1 km)
   15.6 km   Links abbiegen auf Rodevennenweg
   16.5 km   Rechts halten
   16.8 km   Links abbiegen auf Haasendonkerweg
   17.3 km   Links abbiegen auf Hiepterweg
   18.0 km   Rechts abbiegen auf Genenberg
   18.9 km   Links abbiegen auf Hoogstraat
   19.0 km   Links halten auf Hoogstraat
   19.3 km   Rechts abbiegen
   19.7 km   Rechts halten
   20.1 km   Links halten
   20.8 km   Rechts halten
   21.3 km   Links abbiegen auf Blitterswijckseweg
   21.4 km   Dem Straßenverlauf folgen
   21.8 km   Links halten
   22.1 km   Links abbiegen auf Nachtegaalstraat
   22.2 km   Dem Straßenverlauf von Nachtegaalstraat folgen
   22.3 km   Rechts abbiegen auf Brouwersveldweg
   22.7 km   Rechts abbiegen auf Molenweg
   23.3 km   Links abbiegen
   23.6 km   Links abbiegen
   23.6 km   Dem Straßenverlauf von Elsholterweg folgen (follow 1.3 km)
   25.0 km   Links abbiegen
   25.0 km   Rechts abbiegen auf Veerweg (follow 1.7 km)
   26.7 km   Rechts abbiegen auf Kerkstraat
   26.8 km   Dem Straßenverlauf von Plein folgen
   27.1 km   Links abbiegen (follow 1.3 km)
   28.3 km   Rechts abbiegen auf Brugstraat (follow 1.2 km)
   29.5 km   Rechts abbiegen auf Grotestraat (follow 2.9 km)
   32.4 km   Links abbiegen auf De Vissert
   32.7 km   Rechts abbiegen auf De Vissert
   32.8 km   Links abbiegen auf 't Leuken (follow 1.0 km)
   33.8 km   Links abbiegen
   34.0 km   Rechts halten
   34.1 km   Rechts halten
   34.7 km   Rechts halten
   35.0 km   Leicht rechts abbiegen
   35.0 km   Links halten
   35.1 km   Links abbiegen
   35.2 km   Scharf rechts abbiegen auf Kampweg
   35.7 km   Dem Straßenverlauf von De Kamp folgen (follow 2.3 km)
   37.9 km   Links abbiegen auf Aijenseweg (follow 1.9 km)
   39.8 km   Links abbiegen auf Oude Kerkstraat (follow 7.1 km)
   46.9 km   Dem Straßenverlauf von Stuwweg folgen (follow 1.8 km)
   48.7 km   Links abbiegen auf Hoofdstraat
   49.2 km   Links abbiegen (follow 1.4 km)
   50.6 km   Rechts abbiegen auf Boxmeerseweg
   51.0 km   Links abbiegen auf Hoofdstraat
   51.2 km   Rechts halten (follow 1.9 km)
   53.0 km   Links halten auf Heijenseweg
   53.1 km   Im Kreisverkehr Ausfahrt 3 auf Brabantweg nehmen
   53.6 km   Links abbiegen auf Brabantweg
   54.3 km   Rechts abbiegen
   54.3 km   Links abbiegen
   54.8 km   Links abbiegen
   54.8 km   Rechts abbiegen auf Veerweg
   55.3 km   Links abbiegen auf Kleinestraat
   55.9 km   Dem Straßenverlauf von Kleinestraat folgen
   56.2 km   Rechts abbiegen auf Maasdijk
   56.9 km   Rechts abbiegen auf Rijtjes
   57.8 km   Dem Straßenverlauf von Rijtjes folgen
   58.1 km   Leicht rechts abbiegen auf Van den Boschweg (follow 1.1 km)
   59.2 km   Rechts halten auf Odiliadijk
   59.4 km   Rechts halten
   59.6 km   Links halten
   60.1 km   Links halten
   60.6 km   Rechts halten
   60.9 km   Leicht rechts abbiegen
   60.9 km   Links halten
   61.8 km   Dem Straßenverlauf von Waaistraat folgen
