VIANEN(SUISEILAND- ZUID) - UTRECHT(ROOSEVELTLAAN)    38.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring
    0.1 km   Turn left onto Aimé Bonnastraat
    0.2 km   Turn right onto Lijnbaan
    0.3 km   Turn left onto Prinses Julianastraat
    0.7 km   Turn left onto Beukenlaan
    1.1 km   Turn left onto Don Velascodreef
    1.1 km   Turn right
    1.1 km   Turn right (follow 1.4 km)
    2.6 km   Turn sharp left (follow 1.3 km)
    3.8 km   Turn right onto Lage Dijk-Zuid
    3.9 km   Turn left
    4.6 km   Turn right onto Biezendijk (follow 1.8 km)
    6.4 km   Turn sharp left
    6.5 km   Turn left
    6.6 km   Turn left
    6.7 km   Continue onto Statensingel
    7.6 km   Turn sharp right onto Ellingpad (follow 1.0 km)
    8.6 km   Continue onto Benschopperstraat
    8.8 km   Turn left onto Achtersloot (follow 1.0 km)
    9.8 km   Turn right onto Boveneind Noordzijde (follow 4.5 km)
   14.3 km   Turn right onto M A Reinaldaweg (follow 3.9 km)
   18.2 km   Turn left
   18.2 km   Turn left
   18.3 km   Turn slight right onto M A Reinaldaweg
   18.7 km   Turn right
   18.8 km   Turn right onto Waardsedijk-Oost
   18.8 km   Turn slight right onto Waardsedijk-Oost
   18.9 km   Turn left onto Jan Glissenaarpad
   19.7 km   Turn right onto Jan Glissenaarpad
   20.1 km   Turn left onto IJsselplein
  ★ 20.1 km  [see] Castel Montfoort
   20.2 km   Turn right onto Hofdijk
   20.6 km   Turn right onto Mastwijkerdijk (follow 1.2 km)
   21.8 km   Turn right onto Mastwijkerdijk (follow 2.1 km)
   23.9 km   Turn right onto Slotlaan
   24.2 km   Turn right
   24.2 km   Turn left onto Provincialeweg
   24.8 km   Make a U-turn onto Provincialeweg
  ★ 24.8 km  [note] Cheese Farm
   25.6 km   Turn left onto Knollemanshoek
   25.9 km   Turn left onto Achtersloot (follow 2.3 km)
   28.2 km   Keep left onto Zuid IJsseldijk
   28.2 km   Make a U-turn onto Zuid IJsseldijk
   28.2 km   Turn sharp right onto Meerlopad
   28.7 km   Turn left onto Noord IJsseldijk
   28.7 km   Turn right (follow 1.1 km)
   29.8 km   Turn left onto Nedereindseweg (follow 1.1 km)
   30.9 km   Turn right onto Meerndijk (follow 1.6 km)
   32.4 km   Turn slight left onto Meerndijk
   33.2 km   Turn right onto Meerndijk
   33.2 km   Turn right onto Meerndijk
   33.7 km   Turn right onto Zandweg (follow 2.2 km)
   36.0 km   Turn left onto Rijksstraatweg
   36.6 km   Turn right onto Dominee Abernathylaan
   36.7 km   Turn left onto Dominee Abernathylaan
   37.3 km   Turn sharp left
   37.5 km   Turn left
   37.6 km   Turn left onto Rooseveltlaan (follow 1.2 km)
   38.8 km   Turn right
   38.9 km   Turn left onto Rooseveltboulevard-Zuid
