VINNEUF - MORET    40.4 km    · signs & notes only ·

DIRECTIONS
    0.9 km   Geradeaus weiterfahren
    1.2 km   Rechts abbiegen
    1.4 km   Geradeaus weiterfahren (follow 1.2 km)
    2.6 km   Links abbiegen
    3.5 km   Rechts abbiegen
    3.7 km   Rechts abbiegen
    3.9 km   Geradeaus weiterfahren (follow 2.7 km)
    6.5 km   Rechts abbiegen
  ★ 6.6 km  [coffee] Café Villeneuve-la-Guyard
    6.8 km   Links abbiegen (follow 5.8 km)
   12.5 km   Rechts abbiegen
   12.9 km   Rechts abbiegen
   13.0 km   Rechts abbiegen
   13.1 km   Links abbiegen
   13.3 km   Links abbiegen
  ★ 13.3 km  [note] Montmachoux austrich farm — +33-160962949
   13.6 km   Rechts abbiegen (follow 4.0 km)
   17.6 km   Links abbiegen
   17.7 km   Rechts halten
   18.1 km   Links abbiegen
   18.5 km   Rechts abbiegen
   18.6 km   Rechts abbiegen (follow 1.7 km)
   20.3 km   Rechts abbiegen
   20.4 km   Links abbiegen
   20.5 km   Links abbiegen
  ★ 20.5 km  [bar] Ma p'tite Aubaine
   20.6 km   Rechts abbiegen (follow 1.6 km)
   22.2 km   Rechts abbiegen (follow 1.7 km)
  ★ 22.2 km  [bar] Auberge du Bocage
   23.9 km   Rechts abbiegen
  ★ 24.2 km  [note] Fort de Challeau
   24.5 km   Links abbiegen
   25.5 km   Geradeaus weiterfahren (follow 1.4 km)
   26.9 km   Links abbiegen
   27.3 km   Rechts abbiegen
  ★ 27.6 km  [bar] No stress
   28.1 km   Rechts abbiegen (follow 2.6 km)
  ★ 28.7 km  [note] dolmen/hunebed
   30.7 km   Geradeaus weiterfahren (follow 2.2 km)
   32.8 km   Links abbiegen
   33.2 km   Rechts halten
   33.3 km   Links halten
   33.4 km   Scharf rechts
   33.4 km   Rechts abbiegen (follow 5.3 km)
   38.7 km   Links halten
   39.1 km   Links halten
  ★ 39.3 km  [monument] Musée du Vélo
  ★ 39.4 km  [caution] richting Zwaantje — vanaf hier telkens langs Loing tot aan Seine.
   39.6 km   Rechts abbiegen
   39.7 km   Rechts abbiegen
   39.8 km   Links abbiegen
