VOLENDAM - HOORN (VIA KATWOUDE)    40.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [note] Volendam experience
    0.1 km   Linksaf naar Zuideinde
    0.7 km   Rechtsaf naar Zuideinde
    0.7 km   Linksaf naar Zuideinde
    1.2 km   Linksaf naar Hoogedijk (follow 5.2 km)
  ★ 1.5 km  [note] Alida Hoeve
    6.4 km   Rechtsaf
  ★ 6.4 km  [see] Kaas & Klompen
    6.5 km   Rechtsaf naar Hoogedijk
    6.5 km   Rechtsaf
    6.6 km   Linksaf naar Jaagweg
    6.9 km   Rechtsaf naar Kloosterdijk
    7.0 km   Houd links aan naar Kloosterdijk (follow 2.8 km)
    9.8 km   Linksaf
    9.8 km   Ga rechtsaf naar Groeneweg (follow 1.1 km)
   10.9 km   Rechtsaf naar Korstzwampad
   11.1 km   Rechtsaf naar Purmerbospad (follow 1.2 km)
   12.3 km   Rechtsaf
   12.8 km   Linksaf (follow 1.9 km)
   14.7 km   Rechtsaf
   15.1 km   Rechtsaf naar Baansteepad (follow 1.8 km)
   16.9 km   Ga rechtsaf naar Purmerdijk (follow 1.7 km)
   18.6 km   Linksaf naar Edammerweg
   18.9 km   Linksaf naar Oosthuizerweg
   18.9 km   Rechtsaf
   19.0 km   Houd rechts aan naar Lingerzijde
   19.4 km   Blijf op Damplein (follow 1.2 km)
  ★ 19.4 km  [note] De Dam
   20.6 km   Houd links aan naar Oorgat
   20.8 km   Ga linksaf naar Oorgat (follow 11.6 km)
  ★ 20.8 km  [note] Zeesluis Edam — Historische sluis uit 1828
  ★ 21.3 km  [note] Fort
  ★ 29.4 km  [coffee] De Breek — lekkere appeltaart
   32.4 km   Rechtsaf naar Schardam (follow 4.0 km)
  ★ 33.3 km  [see] monument
   36.3 km   Blijf op Westerdijk (follow 2.2 km)
   38.5 km   Linksaf naar Westerdijk
   38.7 km   Linksaf naar Hoge Vest
   38.9 km   Rechtsaf naar Achterom
   39.4 km   Linksaf naar Wijdesteeg
   39.4 km   Linksaf naar West
   39.5 km   Blijf op Roode Steen
   39.5 km   Houd rechts aan naar Grote Oost
   39.7 km   Rechtsaf naar Wijdebrugsteeg
   39.9 km   Rechtsaf naar Oude Doelenkade
   39.9 km   Houd links aan naar Veermanskade
   40.0 km   Houd links aan naar Hoofd
  ★ 40.0 km  [dock/stay] Ligplaats Hoorn
