VOLLENHOVEN - GIETHOORN    40.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start Radtour
    0.3 km   Links abbiegen
    0.3 km   Rechts abbiegen auf Radweg zum Knotenpunkt 74
    0.3 km   Links abbiegen
    0.4 km   Rechts abbiegen auf Flevoweg zum Knotenpunkt 74
    0.7 km   Links abbiegen (follow 1.3 km)
    2.0 km   Links abbiegen zum Knotenpunkt 44 (follow 1.7 km)
    3.7 km   Geradeaus zum Knotenpunkt 44 (follow 3.0 km)
    6.7 km   Links abbiegen zum Knotenpunkt 43
    7.0 km   Rechts abbiegen zum Knotenpunkt 41
    7.1 km   Rechts abbiegen
    7.3 km   Rechts abbiegen auf Radweg zum Knotenpunkt 41
    7.5 km   Links abbiegen zum Knotenpunkt 41
    7.6 km   Rechts abbiegen zum Knotenpunkt 41 (follow 1.1 km)
    8.7 km   Rechts abbiegen zum Knotenpunkt 42
    9.4 km   Rechts abbiegen zum Knotenpunkt 42
   10.3 km   Links abbiegen zum Knotenpunkt 42 (follow 1.2 km)
   11.4 km   Links abbiegen zum Knotenpunkt 14 (follow 2.0 km)
   13.5 km   Links abbiegen zum Knotenpunkt 14 (follow 5.5 km)
   19.0 km   Rechts abbiegen zum Knotenpunkt 11
   19.1 km   Rechts abbiegen zum Knotenpunkt 11
   19.5 km   Geradeaus zum Knotenpunkt 13
   19.5 km   Links abbiegen zum Knotenpunkt 13 (follow 1.2 km)
   20.7 km   Geradeaus zum Knotenpunkt 13 (follow 4.2 km)
   24.9 km   Links abbiegen zum Knotenpunkt 6
   25.0 km   Geradeaus zum Knotenpunkt 50
   25.1 km   Rechts abbiegen zum Knotenpunkt 50 (follow 3.2 km)
   28.3 km   Rechts abbiegen zum Knotenpunkt 50
   28.6 km   Links abbiegen zum Knotenpunkt 53 (follow 1.2 km)
   29.8 km   Links abbiegen zum Knotenpunkt 53
   29.9 km   Rechts abbiegen zum Knotenpunkt 53
   30.0 km   Rechts abbiegen zum Knotenpunkt 53
   30.1 km   Rechts über Brücke zum Knotenpunkt 53
   30.7 km   Rechts abbiegen zum Knotenpunkt 53
   31.2 km   Rechts abbiegen zum Knotenpunkt 53 (follow 1.8 km)
   33.0 km   Geradeaus zum Knotenpunkt 53 (follow 4.5 km)
   37.4 km   Rechts abbiegen zum Knotenpunkt 61 (follow 2.1 km)
   39.6 km   Links Brücke überqueren
   39.6 km   Strasse überqueren dann rechts zum Knotenpunkt 66
  ★ 39.9 km  [dock/stay] Anlegestelle Giethoorn
