VREESWIJK – KINDERDIJK - SCHOONHOVEN    61.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Dropoff Vreeswijk
    2.0 km   Turn left onto Lekboulevard (follow 2.3 km)
    4.3 km   Turn right onto Lage Dijk-Zuid
    4.4 km   Turn left
    5.1 km   Turn left
  ★ 5.7 km  [bar] Bar De Roode Leeuw — biker friendly garden terrace
    5.9 km   Continue onto Kapelsepad (follow 2.4 km)
    8.3 km   Turn left onto Sluisweg
    8.5 km   Turn left onto Uitweg
    8.7 km   Turn right onto Lekdijk oost (follow 4.3 km)
  ★ 13.0 km  [see] Fierljep Basin — (pole vault long jump)
   13.0 km   Continue onto Lekdijk west (follow 7.4 km)
  ★ 13.1 km  [restroom] public restrooms — no toilet paper
  ★ 14.4 km  [note] walk underneath overpass
  ★ 19.0 km  [bar] Bar In het Witte Paard
   20.5 km   Keep right onto Graaf Floris IV-weg
   20.6 km   Turn left onto Tiendweg (follow 1.5 km)
   22.1 km   Turn slight right onto Lekdijk-Oost
   22.7 km   Turn left onto Buiten de Veerpoort, N216
  ★ 22.7 km  [ferry] Ferry — € 0.80 p.p.
   23.0 km   Keep right onto Veerstoep
   23.1 km   Turn right onto Schoonhovenseveer (follow 4.2 km)
  ★ 26.6 km  [see] 4 windmills Groot Ammers
  ★ 26.9 km  [coffee] Riekje's Hoeve — Coffee, snacks, fresh milk, restrooms
Closed on Sundays.
   27.3 km   Turn slight right onto Opperstok (follow 1.2 km)
   28.5 km   Continue onto Bergstoep
   29.3 km   Turn right onto Beneden Tiendweg (follow 1.6 km)
   30.9 km   Turn right onto Halfweg
   31.4 km   Turn left onto Nieuwe Veer (follow 1.1 km)
   32.5 km   Turn left onto Nieuwe Veer
   33.1 km   Continue onto Dorpsstraat (follow 1.6 km)
   34.7 km   Turn left onto Zijdeweg
   35.2 km   Turn right onto Tiendweg (follow 2.5 km)
   37.7 km   Turn right onto Schoonenburglaan (follow 1.9 km)
  ★ 39.3 km  [dock/stay] Mooring Wantijkade Dordrecht — Lange Wantijkade
   39.5 km   Turn right onto Middelweg
  ★ 39.5 km  [dock/stay] Mooring Kuipershaven Dordrecht — Kuipershaven
  ★ 39.5 km  [dock/stay] Mooring Riedijkshaven Dordrecht — Riedijkshaven
  ★ 39.5 km  [ferry] Waterbus stop Dordrecht
   39.8 km   Turn left onto Klipperstraat
  ★ 40.0 km  [note] follow signs "Waterbus"
  ★ 40.0 km  [ferry] Waterbus Alblasserdam lines 20 & 201 — take waterbus 20 or 201 to "Dordrecht, Merwekade"
Departures every 30 min.
   40.6 km   Turn slight right (follow 1.6 km)
  ★ 41.4 km  [see] Visitor windmill 2.
  ★ 41.9 km  [see] Visitor Windmill 1
  ★ 42.0 km  [coffee] Visitor center Kinderdijk — Coffee, snacks, souvenirs, restrooms
  ★ 42.0 km  [restroom] Restrooms — Free restrooms
   42.2 km   Turn left onto Nederwaard
   42.2 km   Turn left onto Molenstraat
   42.3 km   Turn sharp right
  ★ 42.3 km  [ferry] Waterbus stop line 202 — Departures to Dordrecht at 15.07h and 17.07h
   42.3 km   Turn slight left onto Driehoeksveer Ridderkerk - Krimpen aan de Lek - Kinderdijk
   42.8 km   Turn right onto Rijsdijk (follow 3.9 km)
   46.8 km   Turn right onto Schuwacht (follow 1.2 km)
   47.9 km   Turn right onto Voorstraat (follow 12.4 km)
   60.3 km   Turn right onto Lekdijk-West (follow 1.2 km)
   61.6 km   Turn right onto De Kat
  ★ 61.6 km  [bike_shop] Boom Tweewielers — Bike store.
  ★ 61.6 km  [bar] Bar De Blauwe Duif
  ★ 61.6 km  [coffee] Coffee Fausto — Cycling themed coffee bar, best espresso in town
  ★ 61.6 km  [dock/stay] docking
