WAGENINGEN-DOESBURG    43.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Grebbedijk
    0.4 km   Keep right onto Nudestraat
    0.6 km   Turn right onto Emmapark
    0.8 km   Turn left onto Niemeijerstraat
    1.0 km   Turn right onto Salverdaplein
    1.1 km   Turn left onto Herenstraat
    1.3 km   Turn right onto Bergstraat
    1.4 km   Continue onto 5 Mei Plein
    1.6 km   Turn left onto Veerstraat (follow 1.2 km)
    2.8 km   Continue onto Onderlangs
    2.9 km   Turn right onto Veerdam (follow 1.1 km)
    4.0 km   Turn left onto Randwijkse Rijndijk
    4.1 km   Turn right onto Randwijkse Rijndijk
    4.1 km   Turn left onto Randwijkse Rijndijk (follow 4.6 km)
    8.7 km   Turn left onto Kastanjelaan (follow 4.0 km)
   12.8 km   Keep right onto Kerkstraat
   12.8 km   Turn left onto Kerkstraat
   12.9 km   Turn slight right onto Drielse Rijndijk (follow 1.3 km)
   14.2 km   Turn left onto Drielse Rijndijk
   14.4 km   Turn slight left onto Drielse Veer
   14.7 km   Continue onto Veerweg
   14.9 km   Turn right onto Veerweg
   15.3 km   Turn right onto Benedendorpsweg (follow 1.5 km)
  ★ 15.8 km  [note] Museum
   16.8 km   Turn right onto Benedendorpsweg (follow 1.1 km)
   17.9 km   Make a U-turn onto Klingelbeekseweg (follow 1.0 km)
   18.9 km   Continue onto Hulkesteinseweg
   19.4 km   Keep left onto Utrechtseweg (follow 1.5 km)
   20.9 km   Keep left onto Willemsplein
   20.9 km   Turn left onto Willemsplein
  ★ 20.9 km  [note] Arnhem
   21.1 km   Continue onto Gele Rijders Plein
   21.6 km   Turn right onto Velperplein
   21.6 km   Keep right onto Velperbinnensingel
   22.1 km   Turn left onto Airborneplein
   22.1 km   At roundabout, take exit 2 onto Airborneplein
   22.4 km   Continue onto B.P. van Verschuerstraat
   22.7 km   Continue onto Stadhoudersstraat
   23.5 km   Turn slight right onto Johan de Wittlaan
   24.2 km   Continue onto Oude Zevenaarseweg
   24.7 km   Turn right onto Oude Zevenaarseweg
   24.8 km   Turn left onto Blankenweg
   24.9 km   Turn right
   25.3 km   Turn left onto Schaapdijk (follow 2.8 km)
   28.0 km   Turn sharp left (follow 1.2 km)
   29.3 km   Turn slight right onto Lathumsedijk (follow 3.8 km)
   33.1 km   Keep left onto Bandijk (follow 1.0 km)
   34.1 km   Turn left onto Strandpad
   34.1 km   Turn right onto Strandpad (follow 1.9 km)
   36.0 km   Turn right onto Rhedense Veerweg
   36.1 km   Turn sharp left onto Bingerdensedijk
   36.2 km   Turn left onto Bingerdensedijk
   37.2 km   Turn left onto Bingerdensedijk
   37.5 km   Turn left (follow 1.2 km)
   38.7 km   Turn left onto Rivierweg
   38.8 km   Turn right onto Rivierweg
   38.8 km   Turn left onto Rivierweg
   38.9 km   Turn left onto Bingerdenseweg (follow 1.2 km)
   40.0 km   Turn left (follow 2.0 km)
   42.0 km   Turn sharp left
   42.6 km   Turn left onto Turfhaven
   42.9 km   Turn right
  ★ 43.0 km  [dock/stay] Mooring Doesburg
