WAGENINGEN-DOESBURG (AIRBORNE MUSUEM + ARNHEM)    49.5 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Grebbedijk
    0.4 km   Keep right onto Nudestraat
    0.6 km   Turn right onto Emmapark
    0.8 km   Turn left onto Niemeijerstraat
    1.0 km   Turn right onto Salverdaplein
    1.1 km   Turn left onto Herenstraat
    1.3 km   Turn right onto Bergstraat
    1.4 km   Continue onto 5 Mei Plein
    1.6 km   Turn left onto Veerstraat (follow 1.2 km)
    2.8 km   Continue onto Onderlangs (follow 1.9 km)
    4.7 km   Turn right
    4.7 km   Make a U-turn onto Ritzema Bosweg
    4.7 km   Turn sharp left onto Ritzema Bosweg
    5.5 km   Turn left onto Dorpsstraat
    5.9 km   Turn right onto Dorpsstraat
    6.0 km   Turn left onto Dorpsstraat
    6.4 km   Turn slight right onto Dorpsstraat
    6.4 km   Turn right onto Dorpsstraat
    6.5 km   Keep right onto Melkdam
    6.5 km   Turn slight right
    6.5 km   Turn left onto Utrechtseweg (follow 1.1 km)
    7.6 km   At roundabout, take exit 1 onto Utrechtseweg (follow 1.1 km)
    8.7 km   Turn sharp left onto Utrechtseweg
    9.0 km   Turn right onto Doorwerthsestraat
    9.0 km   Turn left onto Doorwerthsestraat
    9.2 km   Turn right onto Roggekamp
    9.8 km   Turn right
   10.3 km   Turn left
   10.4 km   Turn sharp left onto Fonteinallee (follow 3.5 km)
   13.9 km   Turn right onto Veerweg
   14.8 km   Turn right onto Benedendorpsweg (follow 1.4 km)
   16.2 km   Turn left onto Van Toulon van der Koogweg
   16.4 km   Turn left onto Geelkerkenkamp
   16.8 km   Turn right onto Fangmanweg
   16.8 km   Turn left onto De Dam
   16.9 km   Turn left onto Weverstraat
   17.0 km   Turn right onto Van Eeghenweg
   17.2 km   Turn right onto Pietersbergseweg
   17.7 km   Turn left onto Utrechtseweg
   17.9 km   Turn left
   18.0 km   Turn right
  ★ 18.1 km  [note] Museum
   18.2 km   Turn right onto J.J. Talsmalaan
   18.6 km   Turn left onto Sandersweg
   18.7 km   Turn slight right onto Pietersbergseweg
   18.8 km   Turn left onto Van Eeghenweg
   19.0 km   Turn left onto Weverstraat
   19.0 km   Turn right onto De Dam
   19.1 km   Turn right onto Fangmanweg
   19.2 km   Turn left onto Geelkerkenkamp
   19.6 km   Turn right onto Van Toulon van der Koogweg
   19.8 km   Turn left onto Benedendorpsweg
   19.9 km   Turn right onto Benedendorpsweg (follow 1.1 km)
   21.0 km   Make a U-turn onto Klingelbeekseweg (follow 1.0 km)
   22.0 km   Continue onto Hulkesteinseweg
   22.5 km   Keep left onto Utrechtseweg (follow 1.5 km)
   24.0 km   Keep left onto Willemsplein
   24.0 km   Turn left onto Willemsplein
  ★ 24.0 km  [note] Arnhem
   24.2 km   Continue onto Gele Rijders Plein
   24.6 km   Turn right onto Velperplein
   24.7 km   Keep right onto Velperbinnensingel
   25.2 km   Turn left onto Airborneplein
   25.2 km   At roundabout, take exit 2 onto Airborneplein
   25.5 km   Continue onto B.P. van Verschuerstraat
   25.8 km   Continue onto Stadhoudersstraat
   26.6 km   Turn slight right onto Johan de Wittlaan
   27.3 km   Continue onto Oude Zevenaarseweg
   27.8 km   Turn right onto Oude Zevenaarseweg
   27.9 km   Turn left onto Blankenweg
   28.0 km   Turn right
   28.4 km   Turn left onto Schaapdijk (follow 2.8 km)
   31.1 km   Turn sharp right
   31.8 km   Continue onto Broekdijk
   32.5 km   Turn right onto Lathumse Veerweg (follow 1.7 km)
   34.2 km   Turn slight right onto Lathumse Veerpad (follow 2.0 km)
   36.2 km   Turn right onto Lathumse Veerpad
   36.3 km   Turn sharp right onto Lathumse Veerpad
   36.9 km   Turn left
   37.1 km   Turn slight right onto Oranjeweg
   37.3 km   Turn right onto Groenestraat
   38.1 km   Turn right onto Arnhemsestraatweg (follow 1.3 km)
   39.4 km   Continue onto Stationsweg
   39.8 km   Keep right onto Hoofdstraat
   40.5 km   Turn right onto Van Aldenburglaan (follow 4.4 km)
   44.8 km   Turn right
   45.2 km   Keep right onto Schoonoordpad (follow 1.8 km)
   47.1 km   Turn right onto Ellecomsedijk
   48.0 km   Turn left onto Koepoortwal
   48.0 km   Turn left onto Koepoortwal
   48.0 km   Turn right onto Koepoortstraat
   48.3 km   Turn sharp right onto Roggestraat
   48.5 km   Keep right onto Ooipoortstraat
   48.8 km   Turn right onto Ooipoort
   48.9 km   Turn left
   49.0 km   Turn right onto Turfhaven
   49.3 km   Turn left onto Hanzeweg
   49.3 km   Turn slight right onto IJsselkade
   49.5 km   Turn left
   49.5 km   Turn right
  ★ 49.5 km  [dock/stay] Mooring Doesburg
