WAGENINGEN - ARNHEM (VIA VELUWE & AIRBORNE MUSEUM)    37.0 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Grebbedijk
    0.3 km   Turn slight left onto Havenafweg
    0.4 km   Keep right onto Nudestraat
    0.6 km   Turn right onto Emmapark
    0.8 km   Turn left onto Niemeijerstraat
    1.0 km   Turn right onto Salverdaplein
    1.1 km   Turn left onto Herenstraat
    1.3 km   Turn right onto Bergstraat
    1.4 km   Continue onto 5 Mei Plein
  ★ 1.4 km  [see] Hotel de Wereld
    1.6 km   Turn left onto Veerstraat (follow 1.3 km)
    3.0 km   Continue onto Onderlangs (follow 1.7 km)
    4.7 km   Turn right
    5.5 km   Turn left onto Dorpsstraat
    5.5 km   Turn left onto Dorpsstraat
    5.5 km   Turn slight left onto Onder de Bomen
    6.0 km   Turn left onto Beukenlaan
    6.6 km   Turn right onto Waterweg
    7.2 km   Turn left onto Nieuwe Keijenbergseweg
  ★ 7.8 km  [coffee] Lunchroom de Beken
    8.1 km   Turn right onto Bennekomseweg
    8.7 km   Turn sharp left onto Schaapsdrift
    9.0 km   Turn right onto Wijde Veldweg (follow 2.6 km)
   11.6 km   Turn slight right onto Parallelweg
   12.4 km   Turn left onto Buunderkamp (follow 1.8 km)
   14.2 km   Turn right (follow 1.1 km)
   15.3 km   Turn right onto Verlengde Arnhemseweg
  ★ 15.4 km  [food] Planken Wambuis
  ★ 15.4 km  [food] Restaurant Planken Wambuis
   15.9 km   Turn sharp left
   15.9 km   Turn slight left (follow 1.7 km)
   17.6 km   Turn right
   17.9 km   Turn slight right
   17.9 km   Turn right onto Otterloseweg (follow 2.2 km)
   20.2 km   Continue onto Koningsweg (follow 2.6 km)
  ★ 20.2 km  [coffee] Pitstop
  ★ 22.6 km  [food] Pancake Restaurant Den Strooper
  ★ 22.6 km  [food] Pancake Restaurant Den Strooper
   22.8 km   Turn right onto Koningsweg
   22.8 km   Turn right onto Koningsweg (follow 2.0 km)
   24.8 km   Turn right onto Kemperbergerweg
   25.4 km   Turn left
   25.7 km   Turn right onto Bakenbergseweg (follow 1.1 km)
   26.8 km   Turn slight right onto Bakenbergseweg (follow 1.9 km)
   28.7 km   Turn left onto Dreyenseweg
   28.8 km   Continue onto Stationsweg
   29.5 km   Turn right onto Utrechtseweg
   30.0 km   Make a U-turn onto Utrechtseweg
  ★ 30.2 km  [note] Airborne Museum
   30.6 km   Turn right onto Pietersbergseweg
   31.1 km   Turn left onto Van Eeghenweg
   31.3 km   Turn left onto Weverstraat
   31.3 km   Turn right onto De Dam
   31.5 km   Turn right onto Fangmanweg
   31.5 km   Turn left onto Geelkerkenkamp
   31.9 km   Turn right onto Van Toulon van der Koogweg
   32.1 km   Turn left onto Benedendorpsweg
   32.3 km   Turn right onto Benedendorpsweg (follow 2.1 km)
   34.3 km   Continue onto Hulkesteinseweg
   34.7 km   Turn right onto Utrechtseweg
   34.8 km   Keep right onto Onderlangs
  ★ 37.0 km  [dock/stay] Docking Arnhem
  ★ 37.0 km  [see] Airborne at the Bridge: free museum
