WAGENINGEN - ARNHEM (ÜBER HETEREN & AIRBORNE MUSEUM)    27.0 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Rechts abbiegen auf Grebbedijk
    0.3 km   Leicht links abbiegen auf Havenafweg
    0.4 km   Rechts halten auf Nudestraat
    0.6 km   Rechts abbiegen auf Emmapark
    0.8 km   Links abbiegen auf Niemeijerstraat
    1.0 km   Rechts abbiegen auf Salverdaplein
    1.1 km   Links abbiegen auf Herenstraat
    1.4 km   Rechts abbiegen auf Bergstraat
    1.4 km   Dem Straßenverlauf von 5 Mei Plein folgen
  ★ 1.5 km  [note] Hotel De Wereld — Place where on May 4, 1945 the Allied Forces and the German Army signed the agreement to end the Second World War.
    1.5 km   Rechts halten auf 5 Mei Plein
    1.5 km   Leicht rechts abbiegen auf 5 Mei Plein
    1.6 km   Links abbiegen auf Veerstraat (follow 1.3 km)
    3.0 km   Rechts abbiegen auf Veerdam (follow 1.1 km)
  ★ 3.5 km  [ferry] Lexkes Veer — ca € 1,50 pp
    4.1 km   Dem Straßenverlauf von Randwijkse Rijndijk folgen
    4.2 km   Leicht rechts abbiegen auf Knoppersweg, N836
    4.3 km   Links abbiegen auf Randwijkse Rijndijk (follow 4.5 km)
    8.8 km   Links abbiegen auf Kastanjelaan (follow 4.0 km)
  ★ 8.8 km  [note] Heteren
  ★ 9.5 km  [see] Airborne Memorial
   12.8 km   Dem Straßenverlauf von Drielse Rijndijk folgen (follow 1.4 km)
   14.2 km   Links abbiegen auf Drielse Rijndijk
   14.4 km   Rechts abbiegen
   14.4 km   Leicht links abbiegen auf Drielse Veer
  ★ 14.5 km  [ferry] Drielse Veer — ca € 1,= pp
   14.7 km   Dem Straßenverlauf folgen
   14.9 km   Rechts abbiegen auf Veerweg
  ★ 14.9 km  [coffee] Brasserie Bries — Take a left at Junction 80 for 500 m. Terrace with great view.
   15.4 km   Rechts abbiegen auf Benedendorpsweg (follow 1.4 km)
   16.7 km   Links abbiegen auf Van Toulon van der Koogweg
   17.0 km   Links abbiegen auf Geelkerkenkamp
   17.3 km   Rechts abbiegen auf Fangmanweg
   17.4 km   Links abbiegen auf De Dam
   17.5 km   Links abbiegen auf Weverstraat
   17.5 km   Rechts abbiegen auf Van Eeghenweg
   17.8 km   Rechts abbiegen auf Pietersbergseweg
   17.8 km   Links abbiegen auf Sandersweg
   17.9 km   Links abbiegen auf Sandersweg
   17.9 km   Rechts abbiegen auf J.J. Talsmalaan
  ★ 18.2 km  [food] Schoonoord — Restaurant and terrace
   18.4 km   Links abbiegen auf Utrechtseweg
   18.7 km   Links abbiegen auf Oranjeweg
   18.7 km   Links abbiegen auf Utrechtseweg
  ★ 18.9 km  [note] Airborne Museum — About the battle around Arnhem in September 1944. Terrace
   19.1 km   Rechts abbiegen auf J.J. Talsmalaan
   19.5 km   Sla linksaf naar de Sandersweg
   19.6 km   Rechts abbiegen
   19.7 km   Links halten auf Van Eeghenweg
   19.9 km   Links abbiegen auf Weverstraat
   19.9 km   Rechts abbiegen auf De Dam
   20.0 km   Rechts abbiegen auf Fangmanweg
   20.1 km   Dem Straßenverlauf von Fangmanweg folgen
   20.1 km   Links abbiegen auf Geelkerkenkamp
   20.5 km   Rechts abbiegen auf Van Toulon van der Koogweg
   20.7 km   Links abbiegen auf Benedendorpsweg
   20.8 km   Rechts abbiegen auf Benedendorpsweg (follow 2.1 km)
   22.9 km   Dem Straßenverlauf von Hulkesteinseweg folgen
   23.3 km   Rechts abbiegen auf Utrechtseweg
   23.4 km   Links halten auf Utrechtseweg (follow 1.5 km)
  ★ 24.1 km  [note] Arnhem Art Museum
   24.9 km   Links halten auf Willemsplein
   24.9 km   Links abbiegen auf Willemsplein
   25.0 km   Rechts halten auf Willemsplein
   25.1 km   Dem Straßenverlauf von Gele Rijders Plein folgen
   25.5 km   Rechts abbiegen auf Velperplein
   25.6 km   Rechts halten auf Velperbinnensingel
   26.1 km   Links abbiegen auf Airborneplein
   26.1 km   In den Kreisverkehr einfahren
   26.2 km   Links halten auf Airborneplein
   26.2 km   Rechts abbiegen auf Eusebiusbuitensingel
   26.5 km   Rechts abbiegen auf Westervoortsedijk
   26.5 km   Links abbiegen auf Ooststraat
   26.6 km   Leicht links abbiegen auf Nieuwe Kade
   26.7 km   Rechts abbiegen auf Nieuwe Kade
   26.8 km   Leicht rechts abbiegen auf Rijnkade
  ★ 26.8 km  [see] John Frost Bridge — From the movie A bridge too far.
  ★ 27.0 km  [dock/stay] docking Arnhem
  ★ 27.0 km  [see] Eusebius Tower. Go up by elevator and enjoy the view.
  ★ 27.0 km  [food] Arnhem Centre
  ★ 27.0 km  [note] Airborne at the Bridge — Small museum, free entrance.
  ★ 27.0 km  [food] Restaurants
