WAREGEM - KORTRIJK - MENEN    51.8 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Ketsersstraat
    0.1 km   Turn left onto Aloise Biebuyckstraat
    0.3 km   Turn left onto Barrage
    0.9 km   Turn right
    1.3 km   Turn right
    1.5 km   Turn right
    1.6 km   Turn right onto Sint-Bavostraat
    1.8 km   Turn left onto Rijksweg
    2.1 km   Turn sharp right onto Roterijstraat
    2.2 km   Turn slight left onto Abeelestraat
    2.7 km   Turn right onto Muntestraat
    3.4 km   Turn left onto Caignaardstraat
  ★ 3.4 km  [coffee] Baliekouter
    3.9 km   Turn left onto Heirweg
    4.2 km   Turn right onto Bossenstraat (follow 1.4 km)
    5.6 km   Turn right
    5.6 km   Turn slight right onto Hoogleenstraat
    6.2 km   At roundabout, take exit 1 onto Hoogleenstraat
    7.0 km   Turn left
    7.5 km   Turn right
    7.5 km   Turn left
    8.5 km   Turn sharp left onto Eeckbosstraat
    9.0 km   Turn right onto Sint-Amandstraat (follow 3.7 km)
   12.7 km   Turn right onto Krekelstraat
   13.4 km   Turn slight left onto Lenteakkerstraat
   13.8 km   Turn right onto Lenteakkerstraat
   14.6 km   Turn left onto Lenteakkerstraat
   14.9 km   Turn right onto Bollewerpstraat
   15.2 km   Turn sharp left
   15.2 km   Turn sharp right
   15.2 km   Turn right
   15.3 km   Turn right onto Bollewerpstraat
   15.3 km   Turn right
   15.4 km   Turn right
   15.5 km   Turn right
   15.6 km   Turn left
   15.8 km   Turn right onto Oostrozebekestraat
   15.9 km   Turn left onto Nijverheidstraat
   16.1 km   Turn right onto Nijverheidstraat
   16.3 km   Turn right
   17.2 km   Turn slight right
   17.3 km   Turn right onto Stationsstraat
   17.4 km   Turn right onto Stationsstraat
   17.8 km   Turn right
   18.3 km   Continue onto Ketenstraat
   18.8 km   Continue onto Touwstraat
   19.5 km   Turn right onto Duikerstraat
   19.5 km   Turn left onto Hemelrijkstraat (follow 2.0 km)
   21.5 km   Turn right onto Hulstemolenstraat
   21.8 km   Turn sharp left onto Harelbeeksestraat
   22.1 km   Turn right onto Veldbosstraat (follow 1.5 km)
   23.5 km   Keep right onto Haantjesstraat (follow 1.2 km)
   24.7 km   Turn left
   24.9 km   Turn left onto Brugsesteenweg
   24.9 km   Turn right
   25.0 km   Turn right onto Parkwijk
   25.1 km   Turn right onto Bloemistenstraat
   25.3 km   Turn slight right onto Lijstergalm
   25.7 km   Turn left onto Kattestraat
   25.8 km   Turn right onto Renbaanlaan
   26.1 km   Turn left onto Renbaanlaan
   26.2 km   Turn left onto Nieuwenhuyse
   26.3 km   Turn sharp right
   26.7 km   Turn left
   26.8 km   Turn left onto Boomgaardstraat
   27.4 km   Turn right onto Kouterstraat
   27.8 km   Turn right onto Generaal Eisenhowerstraat
   27.8 km   Turn left onto Koningin Elisabethstraat
   27.9 km   Turn right onto Kerkstraat
   27.9 km   Continue onto Marktplein
   28.1 km   Turn left onto Luitenant-Generaal Gérardstraat
   28.3 km   Turn right onto Luitenant-Generaal Gérardstraat
   28.5 km   Turn left onto Jaagpad
   29.3 km   Turn left onto Watermolenstraat
   29.5 km   At roundabout, take exit 4 onto Harelbeeksestraat
   29.7 km   Turn left onto Twee-Bruggenstraat
   29.8 km   Turn left (follow 1.8 km)
   31.6 km   Turn right onto Wikingerpad (follow 1.2 km)
   32.8 km   Turn right
   32.9 km   Turn right
   33.0 km   Keep right onto Guido Gezellepad
   33.3 km   Turn left onto Kleine Leiestraat
   33.4 km   Turn slight right onto Plein
   33.5 km   Turn right onto Plein
   33.5 km   Turn left onto Begijnhofpark
   33.6 km   Turn right onto Begijnhofpark
   33.6 km   Turn right
   33.6 km   Turn left
   33.7 km   Turn right onto Begijnhofpark
   33.8 km   Turn left onto Begijnhofpark
   33.8 km   Turn right onto Lange-Brugstraat
   33.9 km   Turn right onto Sint-Maartenskerkhof
   33.9 km   Turn right onto Sint-Maartenskerkhof
   34.0 km   Turn right onto Sint-Maartenskerkhof
  ★ 34.1 km  [parking] Parking Kortrijk
   34.2 km   Turn left onto Grote Markt
   34.2 km   Turn right onto Leiestraat (follow 1.4 km)
   35.6 km   Turn left onto Fabriekskaai
   35.7 km   Turn slight right (follow 6.4 km)
   42.0 km   Turn right onto Loskaai
   42.2 km   Turn right onto Lauwestraat
   42.9 km   Turn left onto Grote Markt
   43.0 km   Turn sharp right onto Lode De Boningestraat
   43.3 km   Turn left onto Nieuwstraat
   44.0 km   Turn slight left onto Kijkuitstraat
   44.8 km   Keep left onto Kruisstraat (follow 1.4 km)
   46.2 km   Turn left onto Groenestraat
   46.7 km   Turn right onto Menenstraat (follow 1.5 km)
   48.2 km   Keep right onto Kortrijkstraat
   48.2 km   At roundabout, take exit 3 onto Kortrijkstraat
   48.4 km   At roundabout, take exit 2 onto Kortrijkstraat
  ★ 48.8 km  [coffee] Several cafes
   49.1 km   Keep right onto Ieperstraat
   49.2 km   Turn sharp left onto Yvonne Serruysstraat
   49.3 km   Turn left onto Yvonne Serruysstraat
   49.3 km   Turn right onto Kapucijnenweg
   49.5 km   Turn left
   49.5 km   Turn right
   49.6 km   Turn right onto Oude Leielaan
   49.6 km   Turn sharp right
   50.4 km   Turn sharp left onto Wervikstraat
   51.0 km   Turn left onto Ropswalle
  ★ 51.7 km  [dock/stay] Barge Menen
