WATERBUS - ROTTERDAM (COOLHAVEN)    3.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Waterbus
    0.1 km   Links abbiegen auf Willemskade
    0.5 km   Dem Straßenverlauf von Westplein folgen
    0.6 km   Scharf links abbiegen auf Westplein
    0.7 km   Links abbiegen auf Veerhaven
    1.2 km   Leicht links abbiegen auf Parkkade
    1.6 km   Rechts halten auf Parkkade
    1.7 km   Links abbiegen auf Parkkade
    1.7 km   Dem Straßenverlauf von Parkhaven folgen
    2.3 km   Rechts halten auf G.J. de Jonghweg
    2.4 km   Leicht rechts abbiegen auf G.J. de Jonghweg
    2.8 km   Links halten
    2.8 km   Dem Straßenverlauf von Coolhaven folgen
