WIJHE-ZALK-KAMPEN    47.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Wijhe
    0.1 km   Begin van de fietstocht; houd het water aan de linkerkant
    0.1 km   Linksaf naar Veerweg naar KP 32
    0.5 km   Houd links aan naar KP 27
    0.8 km   Neem het pontje naar KP 27
  ★ 0.9 km  [ferry] Veer Wijhe - Heerde — ca € 1,50 pp
    1.1 km   Linksaf naar KP 31
    1.3 km   Rechtsaf naar KP 66
    1.7 km   Rechtsaf naar Losweg
    2.0 km   Linksaf naar Papelandseweg
    2.8 km   Rechtsaf naar Meester van Voorstweg
    2.9 km   Linksaf naar Kerkweg
    3.3 km   Rechtsaf naar Ziebroekseweg (follow 1.5 km)
    4.8 km   Linksaf naar Ziebroekseweg (follow 1.0 km)
    5.8 km   Linksaf naar de Steeg (follow 1.5 km)
    7.2 km   Linksaf naar Kanaaldijk
    7.3 km   Rechtsaf naar Beatrixweg
    7.6 km   Houd links aan naar Beatrixweg
    7.7 km   Houd links aan naar Vosbergerweg (follow 1.0 km)
    8.7 km   Linksaf naar Hogepad
    9.4 km   Rechtsaf naar Veerstraat
    9.7 km   Linksaf naar Dorpsstraat
  ★ 9.9 km  [coffee] Heerde: horeca
   10.1 km   Rechtsaf naar Brinklaan
   10.1 km   Linksaf naar Brinklaan
   10.1 km   Linksaf naar Dorpsstraat
   10.5 km   Rechtsaf naar Oldekampseweg
  ★ 10.7 km  [see] Oude Spoorbaan — sinds 1972 fietspad
   10.7 km   Linksaf
   11.1 km   Rechtdoor naar KP 14
   11.6 km   Scherpe bocht naar rechts naar Engweg
   11.9 km   Houd links aan naar Wezeweg (follow 1.0 km)
   13.0 km   Linksaf
   13.4 km   Rechtdoor naar KP 27
   13.7 km   Rechtsaf
   14.0 km   Linksaf naar Elburgerweg
   14.6 km   Houd rechts aan
   15.1 km   Houd links aan
   15.2 km   Rechtsaf
   16.2 km   Rechtdoor naar Ossenbergweg
  ★ 16.2 km  [swimming] Strand en toiletten — Heerderstrand
   16.9 km   Rechtsaf naar Palenweg
   17.8 km   Linksaf naar KP 65
   18.1 km   Houd rechts aan naar KP 65
   18.4 km   Linksaf
   18.8 km   Houd rechts aan
   19.7 km   Rechtsaf naar Wapenveldseweg
   20.0 km   Rechtdoor naar Wapenveldseweg
   20.3 km   Linksaf
   20.9 km   Houd links aan
   21.0 km   Houd rechts aan
   21.1 km   Houd links aan
   21.6 km   Rechtsaf
   21.7 km   Rechtsaf
   22.2 km   Linksaf (follow 1.2 km)
   23.4 km   Houd links aan
   23.7 km   Rechtsaf naar Leemculeweg (follow 1.1 km)
   24.8 km   Linksaf
   25.5 km   Linksaf naar Koeweg
   25.5 km   Rechtdoor naar Koeweg (follow 1.4 km)
  ★ 26.5 km  [see] Kasteel Molecaten
  ★ 26.8 km  [coffee] Herberg Molecaten — Café Restaurant
   26.9 km   Rechtsaf naar Molecaten
   26.9 km   Houd links aan naar Koeweg
   27.5 km   Houd rechts aan naar Eliselaan
   27.6 km   Linksaf naar Stadslaan
   28.0 km   Linksaf naar Stationslaan
   28.3 km   Linksaf naar Zuidwal
   28.5 km   Rechtsaf naar Dorpsweg
  ★ 28.5 km  [see] De Fortuin — graanmolen
  ★ 28.5 km  [see] Museum Anton Pieck
  ★ 28.5 km  [see] Museum Jan Voerman
   28.7 km   Linksaf naar Noordwal
  ★ 28.7 km  [food] Hattem Markt — diverse horeca en VVV
  ★ 28.7 km  [see] Bakkerij Museum
   28.7 km   Houd links aan naar Geldersedijk
   28.9 km   Linksaf naar Geldersedijk (follow 1.1 km)
   30.0 km   Rechtdoor naar Geldersedijk (follow 1.3 km)
   31.3 km   Rechtsaf naar Geldersedijk
   31.3 km   Linksaf naar Geldersedijk (follow 4.4 km)
   35.7 km   Linksaf naar Kerkplein
   35.8 km   Houd links aan naar Kerkplein
  ★ 35.9 km  [food] De Oase — Restaurant, open vanaf 1 mei 2025
   35.9 km   Rechtsaf naar Burgemeester van Vleutenstraat (follow 1.5 km)
  ★ 37.3 km  [ferry] Veer Zalk — ca € 2,= pp, alleen contant afrekenen !
  ★ 37.4 km  [food] Theehuis Zalk — Café met terras
   37.5 km   Houd links aan naar Veecaterdijk (follow 1.6 km)
   39.0 km   Rechtdoor naar KP 42 (follow 1.5 km)
   40.5 km   Houd links aan naar Dorpsweg (follow 2.0 km)
   42.5 km   Houd links aan naar Uiterwijkseweg (follow 1.1 km)
   43.6 km   Houd links aan naar IJsseldijk (follow 1.9 km)
   45.5 km   Rechtdoor over dijk, geen knooppunten
   46.4 km   Houd rechts aan
   46.5 km   Rechtsaf
   46.5 km   Linksaf
  ★ 46.8 km  [note] Station Kampen
   46.9 km   Linksaf naar IJsselbrug
   47.2 km   Linksaf; water aan de linkerkant
  ★ 47.2 km  [bar] Kampen Centrum — Café's en Restaurants
   47.2 km   Einde fietstocht
  ★ 47.6 km  [dock/stay] Aanlegplaats Kampen IJsselkade
