WIJHE - KAMPEN    34.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto IJsseldijk
    0.2 km   Turn right onto Veerweg
    0.7 km   Turn right onto Losweg
    1.0 km   Turn left onto Papelandseweg
    1.7 km   Turn right onto Meester van Voorstweg
    1.9 km   Turn left onto Kerkweg
    2.2 km   Turn right onto Ziebroekseweg (follow 1.5 km)
    3.7 km   Turn left onto Ziebroekseweg
    3.9 km   Keep right onto Westdijk (follow 1.4 km)
    5.3 km   Turn left onto Breeweg
    5.9 km   Turn right onto Hogestraat
    6.0 km   Turn left onto Flessenbergerweg
    6.2 km   Turn right onto Lagestraat
    7.2 km   Continue onto Kanaaldijk
    7.3 km   Turn left onto Kerkstraat
    7.6 km   Turn right onto Klapperdijk
    8.0 km   Turn left onto Groteweg
    8.0 km   Turn left onto Groteweg
    8.0 km   Continue onto Molenweg (follow 2.9 km)
   10.9 km   Turn sharp right onto Leemculeweg (follow 1.5 km)
   12.4 km   Turn left onto Koeweg (follow 1.5 km)
   13.8 km   Turn right onto Molecaten
   13.9 km   Continue onto Koeweg
   14.4 km   Keep right onto Eliselaan
   14.6 km   Turn left onto Stadslaan
   14.9 km   Turn left onto Stationslaan
   15.2 km   Turn left onto Zuidwal
   15.4 km   Turn right onto Dorpsweg
   15.6 km   Turn left onto Noordwal
   15.7 km   Turn slight left onto Geldersedijk
   15.8 km   Turn left to stay on Geldersedijk (follow 2.4 km)
   18.2 km   Turn right onto Zuiderzeestraatweg
   18.2 km   Turn left onto Geldersedijk (follow 2.9 km)
   21.1 km   Slight right onto Zalkerdijk (follow 2.1 km)
   23.1 km   Turn right onto Veerpad (follow 1.2 km)
   24.3 km   Turn slight left onto Veecaterdijk (follow 2.4 km)
   26.7 km   Continue onto Harsenhorsterweg
   27.4 km   Keep left onto Dorpsweg (follow 2.0 km)
   29.4 km   Keep left onto Uiterwijkseweg (follow 1.1 km)
   30.5 km   Turn slight left onto IJsseldijk (follow 1.9 km)
   32.3 km   Turn slight left onto Uiterwijkseweg
   32.8 km   Continue onto Zwolseweg
   33.3 km   Turn right
   33.4 km   Turn left
   33.8 km   Turn left onto IJsselbrug
   34.0 km   Turn left onto IJsselkade
