WIJHE - KAMPEN (ÜBER HATTEM)    37.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop-off Wijhe
    0.1 km   Links abbiegen auf Veerweg
  ★ 0.8 km  [ferry] Ferry Wijhe - Heerde — ca € 1,50 p.p.
    1.1 km   Links abbiegen auf IJsseldijk
    1.3 km   Rechts abbiegen auf Veerweg
    1.7 km   Rechts abbiegen auf Losweg
    2.0 km   Links abbiegen auf Papelandseweg
    2.7 km   Rechts abbiegen auf Meester van Voorstweg
    2.9 km   Links abbiegen auf Kerkweg
    3.2 km   Rechts abbiegen auf Ziebroekseweg (follow 1.5 km)
    4.7 km   Links abbiegen auf Ziebroekseweg
    5.0 km   Rechts halten auf Westdijk (follow 1.4 km)
    6.4 km   Links abbiegen auf Breeweg
    6.9 km   Rechts abbiegen auf Hogestraat
    7.0 km   Links abbiegen auf Flessenbergerweg (follow 1.5 km)
    8.5 km   Links abbiegen auf Groteweg
    8.5 km   Rechts abbiegen auf Wapenveldseweg (follow 1.9 km)
   10.4 km   Scharf rechts abbiegen
   11.1 km   Links halten
   11.1 km   Rechts halten
   11.3 km   Links halten (follow 1.1 km)
   12.4 km   Links abbiegen (follow 1.2 km)
   13.6 km   Links halten
   13.8 km   Rechts abbiegen auf Leemculeweg (follow 1.8 km)
   15.6 km   Links abbiegen auf Koeweg
   15.7 km   Dem Straßenverlauf von Koeweg folgen (follow 1.4 km)
   17.1 km   Rechts abbiegen auf Molecaten
   17.1 km   Dem Straßenverlauf von Koeweg folgen
   17.6 km   Rechts halten auf Eliselaan
   17.8 km   Links abbiegen auf Stadslaan
   18.1 km   Links abbiegen auf Stationslaan
   18.4 km   Links abbiegen auf Zuidwal
   18.6 km   Rechts abbiegen auf Dorpsweg
  ★ 18.6 km  [see] De Fortuin Grain mill
  ★ 18.7 km  [see] Museum Anton Pieck
   18.8 km   Links abbiegen auf Noordwal
  ★ 18.8 km  [see] Hattem: historical centre
   18.9 km   Leicht links abbiegen auf Geldersedijk
  ★ 18.9 km  [see] Bakery Museum
   19.0 km   Leicht rechts abbiegen auf Geldersedijk
   19.0 km   Links abbiegen auf Geldersedijk
   19.5 km   Dem Straßenverlauf von Geldersedijk folgen (follow 2.0 km)
   21.4 km   Rechts abbiegen auf Geldersedijk
   21.5 km   Leicht links abbiegen auf Geldersedijk (follow 4.4 km)
   25.9 km   Links abbiegen auf Kerkplein
   25.9 km   Leicht links abbiegen auf Kerkplein
   26.0 km   Rechts abbiegen auf Kerkplein
  ★ 26.0 km  [food] De Oase
   26.1 km   Rechts abbiegen auf Burgemeester van Vleutenstraat (follow 1.5 km)
  ★ 27.4 km  [ferry] Ferry Zalk — ca € 2,= p.p, cash only
  ★ 27.5 km  [coffee] Theehuis Zalkerveer — Café with terrace
   27.6 km   Leicht links abbiegen auf Veecaterdijk
   28.1 km   Links halten auf Veecaterdijk (follow 1.9 km)
   30.0 km   Dem Straßenverlauf von Harsenhorsterweg folgen
   30.5 km   Rechts halten auf Harsenhorsterweg
   30.7 km   Links halten auf Dorpsweg (follow 2.0 km)
   32.7 km   Links halten auf Uiterwijkseweg (follow 1.1 km)
   33.7 km   Leicht links abbiegen auf IJsseldijk (follow 1.9 km)
   35.6 km   Leicht links abbiegen auf Uiterwijkseweg
   36.1 km   Dem Straßenverlauf von Zwolseweg folgen
   36.6 km   Rechts abbiegen
   36.6 km   Links abbiegen
   37.0 km   Links abbiegen auf IJsselbrug
   37.3 km   Links abbiegen auf IJsselkade
  ★ 37.3 km  [see] Kampen city centre
  ★ 37.6 km  [dock/stay] Docking Kampen (IJsselkade)
