WIJK BIJ DUURSTEDE - WAGENINGEN    30.1 km    · signs & notes only ·

DIRECTIONS
    0.4 km   Turn left onto Singel
    0.7 km   Turn right onto Hoogstraat
    1.1 km   Turn right
    1.7 km   Turn left onto Prins Hendrikweg
    2.2 km   Turn right onto Amerongerwetering (follow 6.0 km)
    8.2 km   Turn right onto Boerenbuurt
    8.5 km   Turn right onto Boerenbuurt
    8.8 km   Turn right onto Rijksstraatweg
    9.7 km   At roundabout, take exit 1 onto Galakrotonde
    9.8 km   Turn right onto Kersweg
    9.8 km   Turn right onto Kersweg
   10.3 km   Turn right onto Kersweg
   10.5 km   Turn right onto Donkerstraat
   10.5 km   Turn left onto Drostestraat
   11.1 km   Turn slight right onto Burgemeester van den Boschstraat
   11.4 km   Turn right onto Koningin Wilhelminaweg
   11.4 km   Turn right onto Rijksstraatweg
   11.7 km   Turn left onto Veenseweg (follow 1.8 km)
   13.5 km   Keep right onto Let de Stigterpad (follow 2.0 km)
   15.4 km   Turn right onto Bosweg
   15.6 km   Turn left onto Let de Stigterpad (follow 4.3 km)
   19.8 km   Turn slight left onto Stokweg
   20.8 km   Turn right onto Stokweg
   21.1 km   Turn left (follow 1.1 km)
   22.1 km   Continue onto Utrechtsestraatweg
   22.3 km   Turn right
   22.3 km   Keep right onto Utrechtsestraatweg (follow 1.0 km)
   23.3 km   Continue onto Herenstraat
   23.6 km   Keep left onto Grebbeweg (follow 2.3 km)
   25.9 km   Turn right onto Grebbedijk
   26.9 km   Turn left onto Grebbedijk (follow 2.4 km)
   29.3 km   Turn right onto Grebbedijk
   30.0 km   Turn sharp right onto Rijnhaven
