ZAANDAM - ALKMAAR    45.1 km    · signs & notes only ·

Knooppunten: 82

DIRECTIONS
    0.0 km   Links abbiegen auf Burcht
    0.1 km   Rechts abbiegen auf Wilhelminastraat
  ★ 0.1 km  [see] Tsaar Peterhuisje
    0.3 km   Rechts abbiegen auf A.F. de Savornin Lohmanstraat (follow 1.4 km)
  ★ 0.7 km  [see] Inn Hotel — Architektur mit Verwendung kleiner grüner Zaanse-Häuser
    1.7 km   Links abbiegen auf Oostzijde
    2.6 km   Rechts abbiegen auf Paltrokstraat
    2.8 km   Rechts halten auf Paltrokstraat
    3.7 km   Links abbiegen
    3.7 km   Rechts abbiegen auf Kalf
    4.4 km   Dem Straßenverlauf von Kalf folgen
    4.6 km   Links abbiegen
    4.8 km   Links abbiegen
    5.2 km   Rechts abbiegen auf Pinksterdrie
    5.3 km   Rechts abbiegen auf Pinksterdrie
    5.3 km   Links abbiegen auf Leeghwaterweg
  ★ 5.3 km  [see] Zaans Museum (Monet)
    5.4 km   Rechts abbiegen auf Schansend
    5.4 km   Wenden
  ★ 5.4 km  [bike_parking] Zaanse Schans Fahrradparkplatz
    5.5 km   Rechts abbiegen auf Leeghwaterweg
  ★ 5.6 km  [see] Zaanse Schans; Freilichtmuseum — Windmühlen, alte Holzhäuser und vieles mehr
  ★ 5.6 km  [coffee] Café Restaurant Pfannkuchen
    5.9 km   Rechts abbiegen auf Kalverringdijk
    6.2 km   Rechts halten auf Kalverringdijk (follow 1.4 km)
  ★ 6.4 km  [see] Windmühle De Kat
  ★ 6.6 km  [see] Windmühle Jonge Schaap
  ★ 7.0 km  [see] Windmühle Museum
    7.6 km   Links abbiegen auf Engewormer
    8.3 km   Links halten auf Engewormer
    8.3 km   Leicht rechts abbiegen auf Zaandammerpad
    8.6 km   Links abbiegen
    8.7 km   Leicht rechts abbiegen auf Papiermakerstraat
    8.9 km   Dem Straßenverlauf von Koetserstraat folgen
    9.1 km   Leicht rechts abbiegen auf Rigastraat
    9.2 km   Rechts halten auf Bordwalserstraat
    9.4 km   Rechts halten auf Bordwalserstraat
    9.4 km   In den Kreisverkehr einfahren
    9.7 km   Rechts abbiegen
    9.7 km   Leicht links abbiegen
    9.7 km   Leicht rechts abbiegen auf Nieuweweg
    9.8 km   Rechts abbiegen auf Veerdijk (follow 1.6 km)
   11.4 km   Dem Straßenverlauf von Wormerringdijk folgen
  ★ 11.6 km  [coffee] Poelboerderij Visitor Centre — Besucherzentrum mit Informationen zum Poldergebiet. Kaffee. WC. Freiwilligenarbeit.
   12.1 km   Links abbiegen auf Wormerringdijk
  ★ 12.5 km  [see] Wiel — Ort, an dem vor langer Zeit, im Jahr 1825, ein Deichbruch stattfand
   12.8 km   Rechts abbiegen auf Dorpsstraat (follow 4.6 km)
  ★ 15.9 km  [coffee] Limosahoeve — Bauernhof mit Selbstbedienungsladen für Kaffee, frische Milch, Gemüse und Obst
   17.4 km   Links abbiegen auf Kanaaldijk
   17.4 km   Rechts abbiegen auf Starnmeerdijk
   17.4 km   Rechts abbiegen
   17.4 km   Achtung, auf Fähre umsteigen (Pontveer Jan Hop Spijkerboor)
  ★ 17.4 km  [ferry] Fähre Spijkerboor Jan Hop — Ca. 1,60 € pro Person, nur Kartenzahlung. (Keine Barzahlung!) Nur an Wochenenden, ab Mitte April täglich.
   17.5 km   Fähre verlassen und dem Straßenverlauf folgen
   17.7 km   Scharf rechts abbiegen auf Zuiddijk
   17.8 km   Links abbiegen auf Westdijk (follow 2.7 km)
  ★ 18.0 km  [coffee] Tea Garden De Koffiebuuf
  ★ 18.2 km  [see] Festung Spijkerboor — Erbaut 1913 als Teil des Stelling van Amsterdam (Unesco)
   20.5 km   Scharf links abbiegen auf Oosteinde (follow 1.1 km)
  ★ 21.2 km  [food] Restaurants de Rijp — 10:00 h
  ★ 21.2 km  [restroom] Toilette im Tourismusbüro — Altes Rathaus
  ★ 21.2 km  [note] De Rijp — De Rijp war vor langer Zeit ein Fischereihafen. Informationen erhalten Sie im Rathaus.
   21.6 km   Rechts abbiegen auf Westeinde
   22.0 km   Dem Straßenverlauf von Dorpsstraat folgen (follow 1.9 km)
  ★ 22.2 km  [see] Galery Eilandspolder — Kleine Galerie mit Skulpturen, Eintritt frei
  ★ 22.6 km  [convenience_store] Bram en Aagje Sweetshop — kleinster Laden in Holland, sagen sie.
  ★ 22.6 km  [see] Graft, Rathaus
   23.8 km   Leicht rechts abbiegen auf Meerdijk (follow 1.1 km)
   25.0 km   Follow signs to junction 82 via Herenweg (exit straight)
  ★ 28.9 km  [see] Schermerhorn Windmühle — Eintritt, Kaffee und Toiletten. Interessantes Video.
  ★ 33.7 km  [food] De Gouden Karper — Hotel Restaurant
  ★ 34.2 km  [see] Wassermühlen
  ★ 36.9 km  [coffee] Café Bianca's coffee corner Oterleek — Apfelkuchen und Eiscreme.
  ★ 41.1 km  [caution] Steile Brücke
  ★ 42.9 km  [see] Windmühlen
  ★ 44.9 km  [bar] Alkmaar
  ★ 44.9 km  [note] Altes Waagehaus (Waag)
  ★ 45.1 km  [dock/stay] Liegeplatz Alkmaar (Kanaalkade) — Achten Sie auf Radfahrer auf dem Radweg!
  ★ 45.1 km  [see] Grote Kerk
