ZAANDAM - TWISKE (SCHLEIFE)    24.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Zaandam Theater
    0.0 km   Rechts abbiegen
    0.1 km   Rechts abbiegen auf Nicolaasstraat
    0.2 km   Links abbiegen auf A.F. de Savornin Lohmanstraat
    0.3 km   Leicht rechts abbiegen auf A.F. de Savornin Lohmanstraat
    0.4 km   Rechts abbiegen
    0.5 km   Leicht rechts abbiegen auf Oostzijde (follow 1.0 km)
    1.5 km   Rechts abbiegen auf Herderstraat
    1.8 km   Links abbiegen auf Oostzijde
    2.4 km   Rechts abbiegen
    2.4 km   Leicht rechts abbiegen auf Oostzijde
    2.7 km   Rechts abbiegen auf Paltrokstraat
    2.9 km   Rechts halten auf Paltrokstraat
    3.7 km   Links abbiegen
    3.8 km   Rechts abbiegen auf Kalf
    4.7 km   Links abbiegen
    4.9 km   Links abbiegen
    5.8 km   Rechts abbiegen auf Leeghwaterweg
  ★ 6.1 km  [note] Zaanse Schans Eintritt
  ★ 6.1 km  [coffee] Restaurant, Café — Pancake
    6.2 km   Rechts halten auf Leeghwaterweg (follow 1.4 km)
  ★ 6.2 km  [bike_parking] Fahrradparkplatz Zaanse Schans
  ★ 6.2 km  [see] Zaans Museum (Kunst, Mahler Monet)
    7.6 km   Scharf rechts abbiegen auf Westerdijk
    7.6 km   Dem Straßenverlauf von Zuiderweg folgen
    7.8 km   Links abbiegen auf Zuiderweg
    8.7 km   Rechts abbiegen auf Zuiderweg (follow 1.9 km)
   10.6 km   Scharf links abbiegen auf Wormerpad (follow 1.9 km)
   12.5 km   Turn slight right onto Stationsstraat
   13.1 km   Rechts abbiegen auf Ringvaart
   13.3 km   Links halten
   13.6 km   Links abbiegen
   13.8 km   Rechts halten
   14.3 km   Links halten
  ★ 14.6 km  [coffee] Paviljoen Twiske
   14.7 km   Links abbiegen
   14.8 km   Rechts abbiegen
   14.8 km   Leicht links abbiegen
  ★ 14.9 km  [rest_stop] Benches at the Harbour
  ★ 14.9 km  [rest_stop] Am Hafen
   15.0 km   Links halten
   15.1 km   Rechts abbiegen
   15.3 km   Links abbiegen
   15.9 km   Links abbiegen
   15.9 km   Rechts abbiegen
   16.6 km   Links halten
   17.1 km   Rechts abbiegen auf Het Luijendijkje
  ★ 17.9 km  [see] Windmill Twiske
   18.0 km   Links halten
   18.2 km   Rechts abbiegen
   18.3 km   Links abbiegen auf Pikpotweg
   18.5 km   Links abbiegen
   18.8 km   Links halten auf De Zuiderlaaik
   19.4 km   Rechts abbiegen auf Zuideinde
   20.2 km   Links abbiegen auf Kerkstraat
  ★ 20.2 km  [bar] Borrelz Gastrobar — ab 14 Uhr
   21.1 km   Rechts halten auf Kerkstraat
   21.7 km   Rechts halten auf Weerpad
   21.7 km   Rechts abbiegen
   21.8 km   Rechts abbiegen auf Poelenburg
   22.1 km   Links abbiegen auf Clusiusstraat
   22.6 km   Rechts abbiegen auf De Weer
   22.7 km   Links abbiegen auf Blooksven
   22.9 km   Rechts abbiegen auf Dominee Martin Luther Kingweg
   23.3 km   Links abbiegen auf Walraven van Hallstraat
   23.5 km   Rechts halten
   23.5 km   Leicht rechts abbiegen
   23.6 km   Leicht rechts abbiegen auf Kepplerstraat
   23.7 km   Dem Straßenverlauf folgen
   23.9 km   Rechts halten auf H Gerhardstraat
   24.1 km   Links abbiegen auf Peperstraat
   24.4 km   Rechts abbiegen
   24.4 km   Links abbiegen
   24.5 km   Links abbiegen
   24.5 km   Leicht rechts abbiegen auf A.F. de Savornin Lohmanstraat
   24.6 km   Rechts halten auf A.F. de Savornin Lohmanstraat
   24.8 km   Links abbiegen
   24.9 km   Links abbiegen
