ZAANDAM - TWISKE (LOOP)    24.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Zaandam Theater
    0.0 km   Turn right
    0.1 km   Turn right onto Nicolaasstraat
    0.4 km   Turn right onto A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.8 km   Turn left onto Oostzijde
    2.4 km   Turn slight right onto Oostzijde
  ★ 2.4 km  [see] St. Bavo Kirche Haarlem
  ★ 2.4 km  [dock/stay] Anliegeplatz Haarlem passenger terminal Spaarndamseweg
  ★ 2.4 km  [bike_parking] Bike Parking Keukenhof
  ★ 2.4 km  [see] Museum Cruquius
  ★ 2.4 km  [coffee] Café Vogelenzang
  ★ 2.4 km  [see] St. Bavo Kirche Haarlem
  ★ 2.4 km  [dock/stay] Anliegeplatz Haarlem passenger terminal Spaarndamseweg
  ★ 2.4 km  [bike_parking] Keukenhof
  ★ 2.4 km  [see] Museum Cruquius
  ★ 2.4 km  [coffee] Café Vogelenzang
    2.6 km   Turn right onto Paltrokstraat (follow 1.1 km)
    3.7 km   Turn left
    3.8 km   Turn right onto Kalf
    4.7 km   Turn left
    4.9 km   Turn left
    5.8 km   Turn right onto Leeghwaterweg (follow 1.8 km)
  ★ 6.1 km  [coffee] Restaurant, Café — Pancake
  ★ 6.2 km  [note] Zaanse Schans Entrance
  ★ 6.2 km  [bike_parking] Bike Parking Zaanse Schans
  ★ 6.2 km  [see] Zaans Museum
    7.6 km   Turn sharp right onto Westerdijk
    7.6 km   Continue onto Zuiderweg, S155
    7.8 km   Turn left onto Zuiderweg
    8.6 km   Turn right onto Zuiderweg (follow 1.9 km)
   10.6 km   Turn sharp left onto Wormerpad (follow 1.9 km)
   12.5 km   Turn slight right onto Stationsstraat
   13.1 km   Turn right onto Ringvaart
   13.6 km   Turn left (follow 1.0 km)
  ★ 14.6 km  [coffee] Paviljoen Twiske
   14.6 km   Turn left onto W T van Gelderweg
   14.8 km   Turn right onto W T van Gelderweg
   14.8 km   Turn slight left
  ★ 14.9 km  [rest_stop] Benches at the Harbour
   15.1 km   Turn right
   15.3 km   Turn left
   15.8 km   Turn left
   15.9 km   Turn right (follow 1.1 km)
   17.0 km   Turn right onto Het Luijendijkje (follow 1.1 km)
  ★ 17.9 km  [see] Windmill Twiske
   18.2 km   Turn right
   18.3 km   Turn left onto Pikpotweg
   18.5 km   Turn left
   18.7 km   Keep left onto De Zuiderlaaik
   19.4 km   Turn right onto Zuideinde
   20.2 km   Turn left onto Kerkstraat (follow 1.0 km)
  ★ 20.2 km  [bar] Borrelz Gastrobar — OPen at 2 pm
   21.2 km   Turn slight right onto Kerkstraat
   21.7 km   Turn right
   21.8 km   Turn right onto Poelenburg
   22.1 km   Turn left onto Clusiusstraat
   22.6 km   Turn right onto De Weer
   22.7 km   Turn left onto Blooksven
   22.9 km   Turn right onto Dominee Martin Luther Kingweg
   23.3 km   Turn left onto Walraven van Hallstraat
   23.5 km   Turn slight right
   23.9 km   Keep right onto H Gerhardstraat
   24.1 km   Turn left onto Peperstraat
   24.4 km   Turn right
   24.4 km   Turn left onto Peperstraat
   24.4 km   Turn left
   24.8 km   Turn left
   24.8 km   Turn left
