ZAANDAM - TWISKE (RONDRIT)    24.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Ligplaats Zaandam
    0.0 km   Rechtsaf
    0.1 km   Rechtsaf naar Nicolaasstraat
    0.4 km   Rechtsaf naar A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.8 km   Linksaf naar Oostzijde
    2.3 km   Houd rechts aan
    2.4 km   Houd rechts aan naar Oostzijde
  ★ 2.4 km  [see] St. Bavo Kirche Haarlem
  ★ 2.4 km  [dock/stay] Anliegeplatz Haarlem passenger terminal Spaarndamseweg
  ★ 2.4 km  [bike_parking] Bike Parking Keukenhof
  ★ 2.4 km  [see] Museum Cruquius
  ★ 2.4 km  [coffee] Café Vogelenzang
  ★ 2.4 km  [see] St. Bavo Kirche Haarlem
  ★ 2.4 km  [dock/stay] Anliegeplatz Haarlem passenger terminal Spaarndamseweg
  ★ 2.4 km  [bike_parking] Keukenhof
  ★ 2.4 km  [see] Museum Cruquius
  ★ 2.4 km  [coffee] Café Vogelenzang
    2.6 km   Rechtsaf naar Paltrokstraat (follow 1.1 km)
    3.7 km   Linksaf
    3.8 km   Rechtsaf naar Kalf
    4.7 km   Linksaf
    4.9 km   Linksaf
    5.8 km   Rechtsaf naar Leeghwaterweg
  ★ 6.1 km  [coffee] Restaurant, Café — Pancake
  ★ 6.2 km  [note] Zaanse Schans
    6.2 km   Houd rechts aan naar Leeghwaterweg (follow 1.4 km)
  ★ 6.2 km  [bike_parking] Fietsenstalling Zaanse Schans
  ★ 6.2 km  [see] Zaans Museum
    7.6 km   Ga rechtsaf naar Westerdijk
    7.6 km   Blijf op Zuiderweg, S155
    7.8 km   Linksaf naar Zuiderweg
    8.6 km   Rechtsaf naar Zuiderweg (follow 1.9 km)
   10.5 km   Ga linksaf naar Wormerpad (follow 1.9 km)
   12.4 km   Houd rechts aan naar Stationsstraat
   13.1 km   Rechtsaf naar Ringvaart
   13.3 km   Houd links aan
   13.6 km   Linksaf
   13.8 km   Houd rechts aan
   14.3 km   Houd links aan
   14.4 km   Houd links aan
  ★ 14.6 km  [coffee] Paviljoen Twiske
   14.6 km   Linksaf naar W T van Gelderweg
   14.8 km   Rechtsaf naar W T van Gelderweg
   14.8 km   Houd links aan
  ★ 14.9 km  [rest_stop] bankjes bij het haventje
   15.0 km   Houd links aan
   15.1 km   Rechtsaf
   15.3 km   Linksaf
   15.8 km   Linksaf
   15.9 km   Rechtsaf
   16.6 km   Houd links aan
   17.0 km   Rechtsaf naar Het Luijendijkje (follow 1.1 km)
  ★ 17.9 km  [see] Molen Twiske
   18.2 km   Rechtsaf
   18.3 km   Linksaf naar Pikpotweg
   18.5 km   Linksaf
   18.7 km   Houd links aan naar De Zuiderlaaik
   19.4 km   Rechtsaf naar Zuideinde
   20.2 km   Linksaf naar Kerkstraat (follow 1.0 km)
  ★ 20.2 km  [bar] Borrelz Gastrobar — vanaf 14:00
   21.2 km   Houd rechts aan naar Kerkstraat
   21.7 km   Rechtsaf
   21.8 km   Rechtsaf naar Poelenburg
   22.1 km   Linksaf naar Clusiusstraat
   22.6 km   Rechtsaf naar De Weer
   22.7 km   Linksaf naar Blooksven
   22.9 km   Rechtsaf naar Dominee Martin Luther Kingweg
   23.3 km   Linksaf naar Walraven van Hallstraat
   23.5 km   Houd rechts aan
   23.5 km   Houd rechts aan
   23.7 km   Ga rechtdoor
   23.9 km   Houd rechts aan naar H Gerhardstraat
   24.1 km   Linksaf naar Peperstraat
   24.4 km   Ga linksaf naar A.F. de Savornin Lohmanstraat
   24.8 km   Houd links aan
   24.8 km   Linksaf
