ZAANDAM - ZAANSE SCHANS - ALKMAAR (ÜBER HEILOO)    38.8 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Wilhelminastraat
    0.3 km   Rechts abbiegen auf A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.7 km   Links abbiegen auf Oostzijde
    2.3 km   Rechts halten
    2.4 km   Leicht rechts abbiegen auf Oostzijde
    2.6 km   Rechts abbiegen auf Paltrokstraat (follow 1.1 km)
    3.7 km   Links abbiegen
    3.7 km   Rechts abbiegen auf Kalf
    4.6 km   Links abbiegen
    4.8 km   Links abbiegen
    5.8 km   Links abbiegen auf Leeghwaterweg
    5.8 km   Rechts abbiegen auf Kalverringdijk
    6.0 km   Rechts halten auf Kalverringdijk (follow 1.4 km)
  ★ 6.1 km  [note] Start Zaanse Schans
    7.5 km   Links abbiegen auf Engewormer
    8.1 km   Links halten auf Engewormer
    8.1 km   Leicht rechts abbiegen auf Zaandammerpad
    8.5 km   Links abbiegen
    8.6 km   Leicht rechts abbiegen auf Papiermakerstraat
    8.7 km   Dem Straßenverlauf von Koetserstraat folgen
    8.9 km   Leicht rechts abbiegen auf Rigastraat
    9.1 km   Leicht links abbiegen auf Rigastraat
    9.1 km   Rechts halten auf Bordwalserstraat
    9.2 km   Rechts halten auf Bordwalserstraat
    9.3 km   Im Kreisverkehr Ausfahrt 5 nehmen
    9.5 km   Rechts abbiegen
    9.6 km   Links abbiegen
    9.6 km   Leicht rechts abbiegen auf Nieuweweg
    9.8 km   Leicht rechts abbiegen auf Zaanweg
   10.5 km   Links abbiegen auf Marktstraat
   10.7 km   Leicht rechts abbiegen auf Krommenieërweg
   10.8 km   Links abbiegen auf Krommenieërweg
   11.5 km   Rechts abbiegen auf Kerkstraat
   11.6 km   Links abbiegen
   11.7 km   Links abbiegen
   11.9 km   Leicht rechts abbiegen auf Kerkstraat
   12.3 km   Dem Straßenverlauf von Badhuislaan folgen
   12.5 km   Rechts abbiegen auf Weverstraat
   12.6 km   Dem Straßenverlauf von Eikelaan folgen
   13.3 km   Rechts abbiegen auf Zonnebaars
   13.4 km   Leicht links abbiegen auf Waterjuffer
   13.5 km   Links abbiegen
   13.6 km   Dem Straßenverlauf von Uitweg folgen
   14.3 km   Links abbiegen auf Krommeniedijk (follow 1.6 km)
   15.8 km   Rechts abbiegen auf Krommenieweg
   16.1 km   Rechts abbiegen auf Lagendijk (follow 2.8 km)
  ★ 16.2 km  [see] Festung Kijk
  ★ 17.6 km  [coffee] Restaurant Havenrijk Uitgeest — Ab 12 Uhr geöffnet
  ★ 18.0 km  [restroom] Öffentliche Toiletten — Ohne Papier/ohne Waschbecken
  ★ 18.0 km  [coffee] Krelis — Ab 11 Uhr geöffnet
  ★ 18.0 km  [note] Informationspunkt
   18.9 km   Dem Straßenverlauf von Meldijk folgen
   19.2 km   Rechts abbiegen auf Hoorne
  ★ 19.2 km  [coffee] Bäckerei, Kaffee — Geöffnet ab 7.00 Uhr (außer sonntags)
   19.3 km   Links abbiegen auf Populierenlaan
   19.4 km   Rechts abbiegen auf Bonkenburg
   19.5 km   Leicht links abbiegen auf Loet
   19.6 km   Rechts abbiegen auf Limmerweg
   19.9 km   Rechts abbiegen auf Geesterweg
   20.2 km   Links abbiegen
   20.2 km   Leicht rechts abbiegen auf Uitgeesterweg (follow 1.6 km)
   21.8 km   Links abbiegen auf Uitgeesterweg
   21.8 km   Rechts abbiegen
   21.8 km   Links abbiegen auf Uitgeesterweg
   21.9 km   Rechts abbiegen auf Uitgeesterweg (follow 1.3 km)
   23.2 km   Rechts abbiegen auf Zuideinderweg
   23.8 km   Links abbiegen auf Zuidkerkenlaan
   23.9 km   Rechts abbiegen
   23.9 km   Wenden
  ★ 23.9 km  [see] Hortus Bulborum Limmen — Blumengarten mit historischen Zwiebelgewächsen
   23.9 km   Links abbiegen auf Zuidkerkenlaan
   24.1 km   Links abbiegen auf Schoolweg
   24.3 km   Rechts abbiegen auf Dusseldorperweg
   24.6 km   Rechts abbiegen auf Dusseldorperweg
   25.1 km   Links abbiegen auf Kerkweg
   25.5 km   Scharf rechts abbiegen auf Rijksweg
   25.5 km   Wenden auf Rijksweg
   25.6 km   Rechts abbiegen auf Burgemeester Nieuwenhuijsenstraat
   26.0 km   Rechts abbiegen auf Kapelweg (follow 2.2 km)
   28.2 km   Dem Straßenverlauf von Groeneweg folgen
   28.3 km   Rechts abbiegen auf Krommelaan
   28.5 km   Rechts abbiegen auf Hoogeweg
   28.6 km   Scharf rechts abbiegen auf Vennewatersweg (follow 1.2 km)
   29.8 km   Scharf rechts abbiegen
   29.9 km   Links abbiegen (follow 1.4 km)
   31.3 km   Rechts abbiegen
   31.4 km   Links abbiegen
   31.4 km   Leicht rechts abbiegen
   31.6 km   Rechts abbiegen
   31.9 km   Rechts abbiegen
   31.9 km   Links abbiegen
   32.0 km   Links halten
   32.1 km   Rechts halten (follow 1.2 km)
   33.3 km   Links abbiegen auf Belieslaan
   33.7 km   Rechts abbiegen auf Kerkelaan
   34.0 km   Links abbiegen
   34.1 km   Rechts halten (follow 2.4 km)
   36.4 km   Links abbiegen auf Prins Bernhardlaan
   36.5 km   Rechts abbiegen auf Wilhelminalaan
   36.6 km   Scharf links abbiegen auf Prinses Julianalaan
   37.1 km   Rechts halten auf Metiusgracht
   37.1 km   Links abbiegen auf Kennemerstraatweg
   37.3 km   Rechts abbiegen auf Kennemerstraatweg
   37.3 km   Links abbiegen auf Heilooerbrug
   37.5 km   Rechts abbiegen auf Oudegracht
   37.9 km   Links abbiegen auf Hofstraat
  ★ 38.1 km  [note] Alkmaar Mitte
   38.2 km   Leicht links abbiegen auf Waagplein
   38.3 km   Scharf rechts abbiegen auf Schapenbrug
   38.3 km   Links abbiegen auf Voordam
  ★ 38.3 km  [dock/stay] Liegeplatz Alkmaar (Voormeer)
   38.5 km   Links abbiegen auf Kanaalkade
   38.5 km   Rechts halten auf Kanaalkade
   38.6 km   Links abbiegen auf Gedempte Nieuwesloot
  ★ 38.8 km  [dock/stay] Liegeplatz Alkmaar (Kanaalkade)
