ZAANDAM - ZAANSE SCHANS - ALKMAAR (ÜBER SCHERMER) (VOR DEM 15. APRIL)    47.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links abbiegen auf Burcht
    0.1 km   Rechts abbiegen auf Wilhelminastraat
    0.3 km   Rechts abbiegen auf A.F. de Savornin Lohmanstraat (follow 1.4 km)
    1.7 km   Links abbiegen auf Oostzijde
    2.3 km   Rechts halten
    2.4 km   Leicht rechts abbiegen auf Oostzijde
    2.6 km   Rechts abbiegen auf Paltrokstraat (follow 1.1 km)
    3.7 km   Links abbiegen
    3.7 km   Rechts abbiegen auf Kalf
    4.6 km   Links abbiegen
    4.8 km   Links abbiegen
    5.2 km   Rechts abbiegen auf Pinksterdrie
    5.3 km   Links abbiegen auf Leeghwaterweg
  ★ 5.3 km  [see] Zaans Museum (Monet)
    5.4 km   Rechts abbiegen auf Schansend
  ★ 5.5 km  [bike_parking] Zaanse Schans Fahrradparkplatz
    5.5 km   Wenden
    5.5 km   Rechts abbiegen auf Leeghwaterweg
  ★ 5.6 km  [see] Zaanse Schans; Freilichtmuseum — Windmühlen, alte Holzhäuser und vieles mehr
  ★ 5.6 km  [coffee] Café Restaurant Pfannkuchen
    6.0 km   Rechts abbiegen auf Kalverringdijk
    6.2 km   Rechts halten auf Kalverringdijk (follow 1.4 km)
  ★ 6.4 km  [see] Windmühle De Kat
  ★ 6.7 km  [see] Windmühle Jonge Schaap
  ★ 7.0 km  [see] Windmühle Museum
    7.6 km   Links abbiegen auf Engewormer
    8.3 km   Links halten auf Engewormer
    8.3 km   Leicht rechts abbiegen auf Zaandammerpad
    8.6 km   Links abbiegen
    8.8 km   Leicht rechts abbiegen auf Papiermakerstraat
    9.1 km   Leicht rechts abbiegen auf Rigastraat
    9.2 km   Leicht links abbiegen auf Rigastraat
    9.2 km   Rechts halten auf Bordwalserstraat
    9.4 km   Rechts halten auf Bordwalserstraat
    9.4 km   Im Kreisverkehr Ausfahrt 5 nehmen
    9.7 km   Rechts abbiegen
    9.7 km   Links abbiegen
    9.8 km   Leicht rechts abbiegen auf Nieuweweg
   10.0 km   Leicht rechts abbiegen auf Zaanweg
   10.6 km   Links abbiegen auf Marktstraat
   10.9 km   Leicht rechts abbiegen auf Krommenieërweg
   11.0 km   Links abbiegen auf Krommenieërweg
   11.7 km   Rechts abbiegen auf Kerkstraat
   11.7 km   Links abbiegen
   11.9 km   Rechts abbiegen
   12.0 km   Rechts halten (follow 7.0 km)
   18.9 km   Leicht rechts abbiegen auf Zuiddijk (follow 1.2 km)
   20.2 km   Links halten auf Groeneweg (follow 2.1 km)
   22.3 km   Links abbiegen auf Groeneweg
   22.4 km   Rechts halten
   22.4 km   Leicht rechts abbiegen auf Dorpsstraat
  ★ 22.4 km  [convenience_store] Bram en Aagje Sweetshop — kleinster Laden in Holland, sagen sie.
  ★ 22.4 km  [see] Graft, Rathaus
  ★ 22.6 km  [see] Galery Eilandspolder — Kleine Galerie mit Skulpturen, Eintritt frei
   22.8 km   Dem Straßenverlauf von Grafterbaan folgen
   23.2 km   Links abbiegen auf Rechtestraat (follow 1.1 km)
  ★ 23.7 km  [coffee] Oudejans
  ★ 23.7 km  [restroom] Toilette in der Touristeninformation — Bitte hinterlassen Sie eine freiwillige Spende für die Toilettenbenutzung.
  ★ 23.7 km  [note] De Rijp — Restaurants, wunderschöne Häuser aus dem 17. Jahrhundert
   24.3 km   Dem Straßenverlauf von Westdijk folgen
   24.4 km   Links abbiegen auf Westdijk (follow 2.0 km)
   26.4 km   Links halten auf Westdijk (follow 3.0 km)
   29.4 km   Rechts halten auf Westdijk
   29.5 km   Links abbiegen
   29.5 km   Rechts halten auf Westdijk
   29.5 km   Rechts abbiegen auf Westdijk
   29.8 km   Links abbiegen auf Oosteinde
   30.4 km   Leicht links abbiegen auf Westeinde
   31.1 km   Rechts abbiegen auf Westeinde
   31.1 km   Links abbiegen auf Molendijk
   31.2 km   Rechts halten auf Molendijk
   31.3 km   Rechts abbiegen auf Molendijk
   31.4 km   Links abbiegen auf Molendijk
   31.4 km   Rechts abbiegen auf Noordervaart
   31.6 km   Wenden auf Noordervaart
  ★ 31.6 km  [see] Schermerhorn Windmühle — Eintritt, Kaffee und Toiletten. Interessantes Video.
   31.7 km   Leicht links abbiegen auf Molendijk
   31.8 km   Links abbiegen (follow 4.6 km)
   36.4 km   Dem Straßenverlauf von Noordschermerdijk folgen (follow 1.4 km)
  ★ 36.4 km  [food] De Gouden Karper
  ★ 36.8 km  [see] Wassermühlen
   37.8 km   Rechts halten auf Noordschermerdijk
   38.4 km   Rechts halten auf Noordschermerdijk
   38.8 km   Dem Straßenverlauf von Noordschermerdijk folgen
   39.5 km   Rechts abbiegen auf Oterlekerweg
   39.6 km   Links abbiegen auf Huigendijk (follow 2.0 km)
  ★ 39.6 km  [coffee] Bianca's Coffee Corner Oterleek — Apfelkuchen und Eiscreme.
   41.6 km   Links halten auf Huygendijk
   41.9 km   Leicht links abbiegen auf Huygendijk
   42.2 km   Links abbiegen auf Huygendijk
   42.6 km   Rechts abbiegen auf Huygendijk (follow 1.2 km)
   43.8 km   Rechts abbiegen auf Kerkbrug
   43.8 km   Rechts abbiegen auf Kerkbrug
   44.3 km   Rechts abbiegen auf Herenweg
   45.0 km   Rechts halten auf Herenweg
   45.1 km   Leicht links abbiegen auf Molenkade (follow 1.3 km)
  ★ 45.5 km  [see] Windmühlen
   46.4 km   Leicht links abbiegen auf Frieseweg
   47.1 km   Rechts halten auf Frieseweg
   47.2 km   Links abbiegen
   47.2 km   Links abbiegen
  ★ 47.3 km  [dock/stay] Liegeplatz Alkmaar (Voormeer)
   47.4 km   Rechts abbiegen auf Kanaalkade
   47.5 km   Rechts halten auf Kanaalkade
  ★ 47.7 km  [dock/stay] Liegeplatz Alkmaar (Kanaalkade) — Achten Sie auf Radfahrer auf dem Radweg!
