ZAANDAM - ZAANSE SCHANS (LOOP)    35.9 km    · signs & notes only ·

Knooppunten: 71 · 72 · 73 · 50 · 74 · 12 · 17 · 16 · 20 · 19 · 18 · 70

DIRECTIONS
    0.1 km   Turn right onto Rijshoutweg
    0.3 km   Turn left onto Rijshoutweg
    0.5 km   Turn left onto Sluispolderweg
  ★ 0.5 km  [dock/stay] Docking Amsterdam (Minervahaven) — Minervahavenweg 17
    1.1 km   Turn sharp left onto Noorder IJ- en Zeedijk
    1.1 km   Turn right onto Noorder IJ- en Zeedijk
    1.1 km   Turn left onto Noorder IJ- en Zeedijk
    2.0 km   Turn left onto Noorder IJ- en Zeedijk
    2.8 km   Turn right
    2.9 km   Continue onto Oosterwerf
    3.0 km   Turn right onto Conradstraat
    3.1 km   Continue onto Plataanlaan
    3.2 km   Turn right onto Plataanlaan
    3.3 km   Turn right onto Bleekersstraat
    3.4 km   Turn left onto Zuiddijk
    4.3 km   Turn right onto A.F. de Savornin Lohmanstraat
    4.5 km   Turn right
    4.6 km   Turn slight right onto Oostzijde (follow 1.3 km)
    5.9 km   Continue straight to junction 71
  ★ 6.5 km  [note] KEUKENHOF
  ★ 6.5 km  [see] STEAM PUM ENGINE + cafe
  ★ 6.5 km  [coffee] Café Vogelenzang
  ★ 6.6 km  [trailhead] SHIP
  ★ 6.6 km  [note] St Bavo church
    6.8 km   Follow signs to junction 72 via Slachthuisstraat (exit left, heading NE) toward junction 73
    8.7 km   Follow signs to junction 73 (exit straight, heading W) toward junction 50
    9.8 km   Follow signs to junction 50 (exit straight, heading E) toward junction 74
  ★ 10.2 km  [parking] Bike Parking Zaanse Schans
   12.7 km   Turn right to junction 74 (follow 1.1 km)
   13.7 km   Follow signs to junction 12 (exit left, heading E) toward junction 17
   16.8 km   Follow signs to junction 17 (exit straight, heading SE) toward junction 16
  ★ 18.6 km  [coffee] Pavilion Twiske
   18.7 km   Follow signs to junction 16 (exit left, heading NE) toward junction 20
   20.2 km   Follow signs to junction 20 (exit straight, heading S) toward junction 19
  ★ 22.0 km  [ferry] Ferry Ilpendam E 0,70
  ★ 22.0 km  [bar] Wapen van Ilpendam
  ★ 22.1 km  [coffee] Tea garden Overleek
  ★ 22.5 km  [coffee] Café / Church Broek in Waterland
   23.1 km   Follow signs to junction 19 (exit right, heading N) toward junction 18
  ★ 23.6 km  [dock/stay] Docking Amsterdam (Tolhuis)
  ★ 23.6 km  [dock/stay] Docking Amsterdam (Ruijterkade Oost)
  ★ 24.1 km  [dock/stay] Docking Amsterdam (Ruijterkade West)
   24.6 km   Follow signs to junction 18 (exit right, heading NW) toward junction 70
   27.0 km   Follow signs to junction 70 via bike path, Klaas Kanstraat, Touwslagersstraat, Jonge Arnoldusstraat, Hanenpad, Zuiddijk, Bleekersstraat, Plataanlaan, Conradstraat, Noorder IJ- en Zeedijk, Sluispolderweg, Rijshoutweg, Kruisbaken (exit right)
