ZAANDAM RONDRIT OOST    24.9 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Zaandam Theater
    0.1 km   Rechtsaf naar Nicolaasstraat
    0.2 km   Linksaf naar A.F. de Savornin Lohmanstraat
    0.3 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
    0.3 km   Rechtsaf naar A.F. de Savornin Lohmanstraat
    0.4 km   Rechtsaf
    0.5 km   Houd rechts aan naar Oostzijde (follow 1.3 km)
    1.8 km   Linksaf naar Oostzijde
    2.4 km   Rechtsaf
    2.4 km   Houd rechts aan naar Oostzijde
    2.7 km   Rechtsaf naar Paltrokstraat
    2.9 km   Houd rechts aan naar Paltrokstraat
    3.7 km   Linksaf
    3.8 km   Rechtsaf naar Kalf
    4.7 km   Linksaf
    4.9 km   Linksaf
    5.8 km   Rechtsaf naar Leeghwaterweg
  ★ 6.1 km  [coffee] Restaurant, Café — Ook souvenirs, klompenmaken, chocolamaken etc
  ★ 6.1 km  [note] Zaanse Schans Ingang
    6.2 km   Houd rechts aan naar Leeghwaterweg (follow 1.4 km)
  ★ 6.2 km  [bike_parking] Fietsenstalling Zaanse Schans
  ★ 6.2 km  [see] Zaans Museum (Kunst,o.a. Monet)
    7.6 km   Ga rechtsaf naar Westerdijk
    7.6 km   Blijf op Zuiderweg
    7.8 km   Linksaf naar Zuiderweg
    8.7 km   Rechtsaf naar Zuiderweg (follow 1.9 km)
   10.6 km   Ga linksaf naar Wormerpad (follow 1.9 km)
   12.5 km   Houd rechts aan naar Stationsstraat
   13.1 km   Rechtsaf naar Ringvaart
   13.3 km   Houd links aan
  ★ 13.4 km  [note] Recreatiegebied Twiske
   13.6 km   Linksaf
   13.8 km   Houd rechts aan
   14.3 km   Houd links aan
  ★ 14.6 km  [coffee] Paviljoen Twiske — Café Restaurant Terras
   14.7 km   Linksaf
   14.8 km   Rechtsaf
   14.8 km   Houd links aan
  ★ 14.9 km  [rest_stop] Benches at the Harbour
  ★ 14.9 km  [rest_stop] Picknickbanken aan de haven
   15.0 km   Houd links aan
   15.1 km   Rechtsaf
   15.3 km   Linksaf
   15.9 km   Linksaf
   15.9 km   Rechtsaf
   16.6 km   Houd links aan
   17.0 km   Rechtsaf naar Het Luijendijkje
  ★ 17.9 km  [see] Twisker Molen — Lees de geschiedenis op de borden.
   18.0 km   Houd links aan
   18.2 km   Rechtsaf
   18.3 km   Linksaf naar Pikpotweg
   18.5 km   Linksaf
   18.8 km   Houd links aan naar De Zuiderlaaik
   19.4 km   Rechtsaf naar Zuideinde
   20.2 km   Linksaf naar Kerkstraat
  ★ 20.2 km  [bar] Borrelz Gastrobar — Vanaf 14 uur open
   21.1 km   Houd rechts aan naar Kerkstraat
   21.7 km   Houd rechts aan naar Weerpad
   21.7 km   Rechtsaf
   21.8 km   Rechtsaf naar Poelenburg
   22.1 km   Linksaf naar Clusiusstraat
   22.6 km   Rechtsaf naar De Weer
   22.7 km   Linksaf naar Blooksven
   22.9 km   Rechtsaf naar Dominee Martin Luther Kingweg
   23.3 km   Linksaf naar Walraven van Hallstraat
   23.5 km   Houd rechts aan
   23.5 km   Houd rechts aan
   23.6 km   Houd rechts aan naar Kepplerstraat
   23.7 km   Ga rechtdoor
   23.9 km   Houd rechts aan naar H Gerhardstraat
   24.1 km   Linksaf naar Peperstraat
   24.2 km   Linksaf naar Jan Windhouwerstraat
   24.3 km   Linksaf naar Symon Claeszstraat
   24.3 km   Rechtsaf naar Peperstraat
   24.4 km   Rechtsaf
   24.5 km   Linksaf
   24.5 km   Linksaf
   24.5 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   24.6 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   24.9 km   Houd links aan
