ZAANDAM ROUNDTOUR    47.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Anlegestelle Zaandam Theater
    0.0 km   Rechts abbiegen
    0.1 km   Rechts abbiegen auf Nicolaasstraat
    0.2 km   Links abbiegen auf A.F. de Savornin Lohmanstraat
    0.3 km   Leicht rechts abbiegen auf A.F. de Savornin Lohmanstraat
    0.4 km   Rechts abbiegen
    0.5 km   Leicht rechts abbiegen auf Oostzijde (follow 1.3 km)
    1.8 km   Links abbiegen auf Oostzijde
    2.4 km   Rechts abbiegen
    2.4 km   Leicht rechts abbiegen auf Oostzijde
    2.7 km   Rechts abbiegen auf Paltrokstraat
    2.9 km   Rechts halten auf Paltrokstraat
    3.7 km   Links abbiegen
    3.8 km   Rechts abbiegen auf Kalf
    4.7 km   Links abbiegen
    4.9 km   Links abbiegen
    5.8 km   Rechts abbiegen auf Leeghwaterweg
  ★ 6.1 km  [see] Zaanse Schans Eintritt
  ★ 6.1 km  [coffee] Restaurants
    6.2 km   Rechts halten auf Leeghwaterweg
  ★ 6.2 km  [bike_parking] Fahrradparkplatz Zaanse Schans
  ★ 6.2 km  [note] Zaans Museum (Kunst, Mahler Monet)
    6.3 km   Rechts halten auf Leeghwaterweg (follow 1.3 km)
    7.6 km   Scharf rechts abbiegen auf Westerdijk
    7.6 km   Dem Straßenverlauf von Zuiderweg folgen
    7.8 km   Links abbiegen auf Zuiderweg
    8.7 km   Rechts abbiegen auf Zuiderweg (follow 1.9 km)
   10.6 km   Scharf links abbiegen auf Wormerpad (follow 1.9 km)
   12.5 km   Leicht rechts abbiegen auf Stationsstraat
   13.1 km   Rechts abbiegen auf Ringvaart
   13.3 km   Links halten
   13.6 km   Links abbiegen
   13.8 km   Rechts halten
   14.3 km   Links halten
  ★ 14.6 km  [coffee] Paviljoen Twiske
   14.7 km   Links abbiegen
   14.8 km   Rechts abbiegen
   14.8 km   Leicht links abbiegen
  ★ 14.9 km  [rest_stop] Benches at the Harbour
  ★ 14.9 km  [rest_stop] Am Hafen
  ★ 14.9 km  [rest_stop] Benches at the Harbour
   15.0 km   Links halten
   15.1 km   Rechts abbiegen
   15.3 km   Links abbiegen
   15.9 km   Links abbiegen
   16.6 km   Links abbiegen
   17.3 km   Rechts halten
   18.0 km   Rechts halten
   18.7 km   Leicht rechts abbiegen
   19.0 km   Rechts abbiegen
   19.2 km   Links abbiegen auf Dorre Ilp (follow 3.0 km)
   22.2 km   Dem Straßenverlauf folgen
  ★ 22.2 km  [ferry] Fähre Landsmeer - Ilpendam — ca € 1,= pp
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — from 11 h
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — from 11 h
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — from 11 h
   22.3 km   Rechts abbiegen auf Aalduikerweg
   22.3 km   Rechts abbiegen auf Dorpsstraat
   22.6 km   Dem Straßenverlauf von Monnickendammerrijweg folgen (follow 1.2 km)
   23.8 km   Rechts abbiegen auf Overleek (follow 3.6 km)
   27.4 km   Rechts abbiegen (follow 1.4 km)
   28.8 km   Links abbiegen auf Overlekergouw
   29.4 km   Rechts abbiegen auf Keerngouw
   30.2 km   Rechts abbiegen auf Doctorandus. J. van Disweg
   30.7 km   Links abbiegen auf Noordmeerweg
   31.2 km   Links abbiegen auf Kerkplein
   31.2 km   Rechts abbiegen auf Havenrak
  ★ 31.5 km  [food] Restaurant Witte Swaen — Pfannenkuchen Spezialität
   31.6 km   Rechts abbiegen auf Jaagweg
   31.8 km   Rechts halten auf Broekermeerdijk (follow 3.6 km)
   35.4 km   Scharf rechts abbiegen auf Slochterweg
  ★ 35.4 km  [ferry] Fähre 't Schouw — ca € 1,= pp (nur Bar Geld)
   35.5 km   Rechts abbiegen auf Kanaaldijk
   36.0 km   Links abbiegen auf Van Beekstraat (follow 2.6 km)
   38.6 km   Rechts abbiegen auf Dorpsstraat
  ★ 38.6 km  [bar] Landsmeer, Cafés
   38.8 km   Links abbiegen auf Sportlaan
  ★ 38.8 km  [bar] De Driesprong
   39.0 km   Rechts halten auf Sportpark
   39.1 km   Links halten auf Sportpark
   39.8 km   Rechts abbiegen auf Het Luijendijkje
   40.2 km   Links abbiegen auf Het Luijendijkje
  ★ 40.3 km  [see] Twisker Windmühlen
   40.4 km   Links halten
   40.6 km   Rechts abbiegen
   40.7 km   Links abbiegen auf Pikpotweg
   40.9 km   Links abbiegen
   41.2 km   Links halten auf De Zuiderlaaik
   41.8 km   Rechts abbiegen auf Zuideinde
   42.6 km   Links abbiegen auf Kerkstraat
  ★ 42.6 km  [bar] Borrelz Gastrobar — ab 14 Uhr
   43.6 km   Rechts halten auf Kerkstraat
   44.1 km   Rechts halten auf Weerpad
   44.1 km   Rechts abbiegen
   44.2 km   Rechts abbiegen auf Poelenburg
   44.4 km   Links abbiegen auf Jaspersstraat
   44.5 km   Rechts abbiegen auf Clusiusstraat
   44.7 km   Links abbiegen auf Clusiusstraat
   45.1 km   Rechts abbiegen auf De Weer
   45.1 km   Links abbiegen auf Blooksven
   45.3 km   Rechts abbiegen auf Dominee Martin Luther Kingweg
   45.7 km   Links abbiegen auf Walraven van Hallstraat
   45.9 km   Rechts halten
   46.0 km   Leicht rechts abbiegen
   46.0 km   Leicht rechts abbiegen auf Kepplerstraat
   46.2 km   Dem Straßenverlauf folgen
   46.3 km   Rechts halten auf H Gerhardstraat
   46.5 km   Links abbiegen auf Peperstraat
   46.9 km   Links abbiegen
   46.9 km   Leicht rechts abbiegen auf A.F. de Savornin Lohmanstraat
