ZWANENBURG - ZAANSE SCHANS    25.7 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Continue onto Turbineplaats
    0.2 km   Turn left onto Bietenpad
    0.3 km   Turn left onto Haarlemmerstraatweg
    0.9 km   Turn right onto Oude Haarlemmerstraatweg
    1.6 km   Keep left onto Spaarndammerweg
    1.7 km   Turn left onto Spaarndammerweg
    2.3 km   Keep right onto Spaarndammerdijk
    3.1 km   Turn left onto Spaarndammerdijk
    3.4 km   Keep right onto Crayensteinpad
    3.8 km   Turn left onto Houtrijkpad (follow 1.1 km)
    4.9 km   Turn right onto Inlaagpolder (follow 1.1 km)
    6.0 km   Turn left onto Ringweg (follow 2.8 km)
    8.8 km   Turn right onto Inlaagpolder
    8.9 km   Continue onto Hornweg
    9.1 km   Turn right (follow 1.4 km)
   10.5 km   Turn left onto Noorderweg
   10.6 km   Turn right (follow 1.4 km)
   11.9 km   Turn left onto Pontplein
   12.0 km   Attention, take ferry (F21)
   12.3 km   Leave ferry and turn right onto Pontplein
   12.3 km   Turn right onto Pontplein
   12.4 km   Turn left onto Pontplein
   12.5 km   Keep right onto Provincialeweg
   12.6 km   Turn slight right onto Nauerna
   12.8 km   Turn slight right onto Nauerna (follow 1.2 km)
   14.0 km   Turn left onto Nauerna
   14.0 km   Turn left onto Zaandammerweg
   14.5 km   Turn left onto Zaandammerweg (follow 1.4 km)
   15.9 km   Turn sharp left onto Veenpolderdijk
   16.1 km   Turn right onto Dorpsstraat (follow 2.3 km)
   18.3 km   Turn right onto Communicatieweg Oost
   19.0 km   Continue onto Veenpolderdijk
   20.0 km   Turn left onto Vaartdijk (follow 1.2 km)
   21.2 km   Turn left onto Middel
   22.0 km   Turn sharp right
   22.1 km   Continue onto Freek Engelpad (follow 1.2 km)
   23.3 km   Turn left onto Guishof
   23.3 km   Turn slight right onto Doctor Jan Mulderstraat
   23.8 km   Continue onto Oud Heinstraat
   23.8 km   Continue onto Doctor Jan Mulderstraat
   23.9 km   Turn left
   23.9 km   Turn right
   24.0 km   Turn right
   24.7 km   Turn left onto Kalverringdijk
