DAG 4L: SENS - VILLENEUVE-SUR-YONNE    52.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Sens Mooring
    0.0 km   Go up to the road and turn right in the direction of the bridge (follow 1.7 km)
  ★ 0.2 km  [note] Sens market
  ★ 0.2 km  [monument] Sens Cathedral
    1.7 km   Turn sharp left
    2.2 km   Turn right onto Route de Saint-Paul à Rosoy (follow 1.1 km)
  ★ 2.8 km  [park] Sens Parc de moulin an Tan
    3.3 km   Turn left onto Chemin de la Croisière
    4.0 km   At roundabout, take exit 3 onto Rue du Saule Fendu (follow 7.7 km)
   11.7 km   Turn right onto Rue du Pressoir
   12.1 km   Turn right onto Rue de Malay
   12.2 km   Bear left (follow 2.7 km)
   14.9 km   Continue straight onto Route du Miroir, D 76 (follow 3.5 km)
  ★ 15.0 km  [bar] Theil-sur-Vanne bar terras en bakker — Le Sabbatin
   18.4 km   Bear right
  ★ 18.4 km  [bar] Vareilles kunstenaars bar Le Maquis — Alleen open in weekend of bellen.. Verkopen brocante, regionale producten en drankjes en lekkers. Erg aardige local mevrouw. +33 386883115.
   19.0 km   Bear right (follow 2.2 km)
   21.2 km   Continue onto Rue des Vallées (follow 5.1 km)
   26.2 km   Turn slight right onto Route des Sièges
   26.6 km   Keep right onto Route de Cerisiers (follow 5.9 km)
  ★ 26.6 km  [convenience_store] Vaudeurs Boulanger
  ★ 28.6 km  [winery] Le Brissot Cider museum
   32.5 km   Turn right onto Rue de Dilo
   33.1 km   Bear left onto Place des Héros
  ★ 33.1 km  [bar] Villechétive Bar
   33.1 km   Turn left onto Rue de Saint-Ange
   33.4 km   Turn right onto Rue de la Messe
   33.6 km   Turn left (follow 4.8 km)
   38.4 km   Bear left onto Route des Marnières
   38.6 km   Turn right onto Route des Marnières (follow 1.2 km)
   39.8 km   Turn right (follow 1.2 km)
   41.0 km   Turn slight right
   41.8 km   Turn right onto Rue des Remparts
   41.9 km   Turn left onto Rue Neuve
   42.0 km   Turn right onto Rue de la Mairie (follow 6.0 km)
  ★ 47.9 km  [monument] Prieuré
   48.0 km   Bear right (follow 4.1 km)
   52.1 km   Turn left onto Faubourg Saint-Nicolas
  ★ 52.1 km  [note] Villeneuve-sur-Yonne
   52.5 km   Turn right onto Rue Jorge Semprun
  ★ 52.5 km  [coffee] Villeneuve-sur-Yonne Café's
   52.6 km   Turn right onto Rue de Bretoche
   52.7 km   Turn left onto Rue du Batardeau
   52.8 km   End of ride
  ★ 52.8 km  [dock/stay] Villeneuve-sur-Yonne mooring
