DAG 4 AM-L: JOIGNY - VILLENEUVE-SUR-YONNE    48.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Joigny Mooring bridge
    0.0 km   Start of ride
    0.1 km   Turn right cross bridge
    0.3 km   Turn right onto Quai de la Butte
    0.4 km   Bear left
    0.9 km   Turn right onto Rue des Soeurs Lecocq
    1.1 km   At the roundabout take exit 4 onto Route de Chamvres (follow 4.8 km)
  ★ 1.1 km  [dock/stay] Joigny Mooring LO
    5.9 km   Bear right on D 67
    6.6 km   Turn left (follow 2.4 km)
    9.0 km   Turn right onto Chemin de la Cahutte
    9.2 km   Turn left onto Rue des Arcys
    9.7 km   Turn left onto Rue de la Gueulée
    9.8 km   Turn right onto Rue Léon Lemoine
   10.2 km   Turn left onto Route de Villiers/​D178
   10.9 km   Sharp left (follow 2.0 km)
   12.9 km   Turn left onto Rue d'Aillant sur Tholon
   13.0 km   Turn left onto Rue de Paris
  ★ 13.0 km  [monument] Senan Church
  ★ 13.1 km  [winery] Senan Winery Domaine EARL Du Bourg
   13.3 km   Turn right on Rue Malesherbes (follow 1.6 km)
   14.9 km   Houd rechts aan naar Route de Chamvres, D 367
   15.3 km   Linksaf naar Rue Montegros
   15.5 km   Rechtsaf naar Rue des Viards
   16.1 km   Rechtsaf naar Rue de l'Église, D 67
   16.6 km   Linksaf naar Place Saint-Georges
   16.9 km   Rechtsaf naar Rue Besneau
   17.2 km   Houd links aan
   17.6 km   Houd rechts aan (follow 2.0 km)
   19.6 km   Houd rechts aan
   20.0 km   Rechtsaf
   20.6 km   Rechtsaf naar Grande Rue, D 943
   21.1 km   Houd rechts aan
  ★ 21.1 km  [rest_stop] good lunch spot
   21.8 km   Linksaf naar Route de la Celle, D 194
   21.9 km   Rechtsaf naar Rue des Pivins
   21.9 km   Ga rechtsaf naar Route de la Celle, D 194 (follow 1.4 km)
   23.3 km   Rechtsaf naar Grande Rue, D 194
   23.5 km   Houd rechts aan naar Grande Rue, D 194 (follow 1.8 km)
   25.3 km   Houd links aan naar D 134
   25.6 km   Ga linksaf naar Rue de la Source
   25.7 km   Rechtsaf naar Rue de Montarlier
   26.0 km   Houd links aan (follow 3.6 km)
   29.6 km   Rechtsaf (follow 4.6 km)
  ★ 29.7 km  [note] raspberry farm (in season)
  ★ 33.5 km  [monument] Saint-Julien-du-Sault Chapelle de Vauguillan
   34.2 km   Ga rechtsaf naar Avenue de la Gare, D 107
   34.7 km   Linksaf naar D 107
  ★ 34.7 km  [bar] Sant -Julien-du-Sault Hotel restaurant le Julien
   34.9 km   Rechtsaf naar D 107
   35.5 km   Houd links aan naar Route de Villevallier, D 107
   35.6 km   Blijf op D 107
   35.7 km   Linksaf
   35.9 km   Keer om naar Chemin d'Armeau
   35.9 km   Houd links aan
   35.9 km   Houd rechts aan
   36.0 km   Rechtsaf naar Rue du Pont, D 107
   36.6 km   Turn right
   36.9 km   Linksaf naar D 107
   37.0 km   Rechtsaf naar Avenue de la Gare, D 107
   37.7 km   Rechtsaf naar Rue Saint-Antoine
  ★ 37.9 km  [monument] Saint-Julien-du-Sault Church
   38.0 km   Linksaf naar Rue de la Liberté
   38.0 km   Linksaf naar Rue de la Fontaine, D 107
  ★ 38.1 km  [coffee] St Julien du Sault bakery
  ★ 38.1 km  [bar] Saint-Julien-du-Sault Café de la Fontaine
  ★ 38.1 km  [bar] Saint-Julien-du-Sault Café du siecle
   38.3 km   Houd links aan naar Avenue de la Gare, D 107
   38.4 km   Bear left
   38.9 km   Turn left onto D 107
   39.1 km   Turn right
   39.3 km   Bear left
   39.9 km   Turn left onto Chemin d'Armeau (follow 2.3 km)
   42.3 km   Bear left to stay on Rue de l'Yonne (follow 6.3 km)
  ★ 48.3 km  [coffee] Villeneuve-sur-Yonne Café's
  ★ 48.4 km  [note] Villeneuve-sur-Yonne
  ★ 48.4 km  [dock/stay] Docking Villeneuve-sur-Yonne
   48.5 km   End of ride
