DAG 6K: MIGENNES - AUXERRE    29.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Docking place
    0.6 km   Rechts abbiegen
    0.6 km   Scharf rechts
    0.8 km   Scharf rechts (follow 1.3 km)
    2.2 km   Schräg rechts
    2.6 km   Rechts abbiegen
    2.7 km   Rechts abbiegen
    3.2 km   Rechts abbiegen
    3.4 km   Links abbiegen
    3.4 km   Scharf rechts
    3.6 km   Schräg links
    4.0 km   Links abbiegen
    4.3 km   Schräg links
    4.3 km   Links abbiegen
    4.3 km   Rechts abbiegen
    4.5 km   Rechts abbiegen
    4.6 km   Geradeaus weiterfahren
    5.3 km   Biegen Sie scharf links ab, um den Umweg über Cheny zu nehmen
    5.3 km   Rechts abbiegen
  ★ 5.4 km  [caution] Vanaf 18 mei tot eind juni is deze brug mogelijk niet toegangkelijk vanwege schilderwerkzaamheden. Dan omfietsen via Cheny
    5.5 km   Schräg rechts
    6.1 km   Schräg rechts
    6.2 km   Schräg rechts
    6.6 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Rue Victor Hugo, D 91
    7.2 km   Rechts abbiegen
    7.5 km   Schräg links (follow 1.3 km)
    8.7 km   Scharf rechts
    8.7 km   Scharf links
    8.8 km   Rechts abbiegen
    9.1 km   Schräg links
    9.6 km   Links abbiegen
    9.8 km   Rechts abbiegen
    9.9 km   Links abbiegen (follow 1.0 km)
   11.0 km   Rechts abbiegen
   11.0 km   Links abbiegen (follow 2.6 km)
   13.6 km   Schräg links (follow 1.4 km)
   15.0 km   Schräg links
   15.1 km   Geradeaus weiterfahren
   15.2 km   Rechts abbiegen
   15.2 km   Links abbiegen (follow 3.3 km)
   18.5 km   Geradeaus weiterfahren (follow 4.1 km)
  ★ 18.8 km  [bar] Gurgy Restaurant de la riviere. Leuk terras. — Zondag en donderdag open. 03 86 18 14 90
  ★ 22.4 km  [bar] Moneteau diverse voorzieningen
   22.6 km   Schräg rechts
   22.7 km   Schräg rechts
  ★ 22.7 km  [food] Moneteau restaurant terras; La terrasse Gourmande Moneteau
   22.7 km   Rechts abbiegen
  ★ 22.9 km  [rest_stop] Moneteau mooie picnic plaats
   23.0 km   Schräg links
   23.3 km   Schräg links (follow 1.5 km)
  ★ 24.1 km  [food] Auxerre restaurant l' erable — Nice restaurant at the river
   24.8 km   Links abbiegen
   24.9 km   Rechts abbiegen
   25.6 km   Schräg rechts
   26.0 km   Rechts abbiegen
   26.0 km   Links abbiegen
   26.7 km   Rechts abbiegen (follow 1.6 km)
   28.3 km   Links abbiegen
   29.0 km   Schräg links
   29.4 km   Links abbiegen
  ★ 29.4 km  [bar] Auxerre bar restaurant le Quai
   29.5 km   Ende der Radtour
  ★ 29.5 km  [bikeshare] Auxerre fietsverhuur
  ★ 29.5 km  [dock/stay] Auxerre mooring
