DAY 5: LÜNEBURG HARBOR - BAD BEVENSEN    26.1 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Harbor Lueneburg GmbH
    1.1 km   Turn left onto Otto-Brenner-Straße (follow 1.3 km)
    2.4 km   Turn left
    2.4 km   Turn right
    2.5 km   Turn left (follow 1.8 km)
    4.2 km   Turn left
    4.4 km   Turn right
    4.9 km   Turn right
    4.9 km   Turn right
    5.0 km   Turn sharp left (follow 1.5 km)
    6.5 km   Turn left
    6.9 km   Make a U-turn (follow 4.4 km)
   11.3 km   Turn left onto Serviceweg am Elbe-Seitenkanal Ost
   11.4 km   Turn left onto K 42 (follow 3.8 km)
   15.1 km   Turn left onto Bienenbuetteler Straße
   15.6 km   Continue onto Niendorfer Straße
   15.7 km   At roundabout, take exit 3 onto Poststraße (follow 2.0 km)
   17.6 km   Turn right (follow 1.0 km)
   18.7 km   Turn right onto K 56 and drive toward Bad Bevensen, Medingen (follow 6.0 km)
   24.6 km   Continue onto Medinger Allee (follow 1.2 km)
   25.9 km   Turn left onto Lüneburger Straße
  ★ 26.1 km  [note] Bad Bevensen
