DAY 9 : WOLFSBURG - MAGDEBURG    84.4 km    · signs & notes only ·

DIRECTIONS
    0.9 km   Slight right toward Borsigstraße
    1.1 km   Turn left onto Borsigstraße
    1.2 km   Turn right onto In den Allerwiesen
    1.3 km   Turn right
    2.1 km   Turn right
    2.2 km   Turn left (follow 1.4 km)
    3.5 km   Turn left
    3.6 km   Turn right
    3.7 km   Turn right
    3.9 km   Sharp right
    4.0 km   Turn right toward Heinrich-Jasper-Straße
    4.2 km   Turn left onto Heinrich-Jasper-Straße
    4.2 km   Turn right onto Helmstedter Str./​B188 (follow 3.9 km)
    8.1 km   Continue onto Hauptstraße (follow 1.9 km)
   10.0 km   Continue onto Vorsfelder Str. (follow 1.3 km)
   11.2 km   Continue straight onto Neuenhäuser Str./​B244
   11.4 km   Continue onto Grafhorster Str.
   11.5 km   Turn left onto Oebisfelder Str. (follow 1.9 km)
   13.4 km   Continue onto Stendaler Str. (follow 1.8 km)
   15.2 km   Continue onto Büstedt
   15.9 km   Turn right
   16.0 km   Turn right
   16.5 km   Turn right onto Magdeburger Str. (follow 1.7 km)
   18.2 km   Continue onto Siedlung
   18.7 km   Continue onto L24 (follow 6.9 km)
   25.6 km   Continue onto Dorfstraße
   25.8 km   Continue onto Kathendorfer Str.
   26.4 km   Continue onto Rätzlinger Str.
   27.3 km   Continue onto Etinger Str.
   28.2 km   Continue onto L24 (follow 1.4 km)
   29.6 km   Turn right onto Hauptstraße
   30.1 km   Continue onto L24 (follow 8.1 km)
   38.2 km   Turn right
   38.6 km   Continue onto Am Kanal
   39.1 km   Turn right to stay on Am Kanal
   39.3 km   Continue onto L24
   39.4 km   Slight left to stay on L24 (follow 9.4 km)
   48.8 km   Continue onto Industriestraße
   49.6 km   Continue onto L24
   50.5 km   Continue onto K1653 (follow 2.7 km)
   53.2 km   Continue onto K1106
   54.0 km   Slight right onto Gänsebreite
   54.7 km   Continue onto An d. Ohre (follow 1.4 km)
   56.1 km   Sharp right (follow 1.6 km)
   57.7 km   Turn left (follow 1.2 km)
   58.8 km   Turn right onto K1106
   58.9 km   Turn left (follow 1.7 km)
   60.6 km   Turn right onto K1161 (follow 1.6 km)
   62.2 km   Turn left onto Wedringer Str.
   62.2 km   Turn right onto K1161
   62.6 km   Turn left onto B71 (follow 2.3 km)
   65.0 km   Turn right onto Haldensleber Str.
   65.5 km   Continue onto Magdeburger Str.
   65.9 km   Continue onto Holzweg
   66.3 km   Continue onto K1655 (follow 1.6 km)
   67.9 km   Turn left
   68.8 km   Continue onto K1167
   69.5 km   Continue onto Hintern Hecken
   70.3 km   Turn right onto Wolmirstedter Ch
   70.9 km   Turn left onto B71 (follow 2.7 km)
   73.6 km   Turn right onto Schnarsleber Weg
   73.6 km   Slight left onto Olvenstedter Str.
   74.6 km   Continue onto Agrarstraße (follow 2.2 km)
   76.7 km   Turn left onto Birkenallee
   77.0 km   Turn right onto Friedrich-Aue-Str.
   77.5 km   Turn right onto St.-Josef-Straße
   77.5 km   Turn left onto Olvenstedter Chaussee
   78.2 km   Turn right to stay on Olvenstedter Chaussee (follow 1.0 km)
   79.2 km   Turn left
   79.7 km   Turn right toward Olvenstedter Chaussee/​B1
   79.7 km   Turn left onto Olvenstedter Chaussee/​B1
   80.6 km   Turn right onto Ebendorfer Str.
   81.1 km   Continue onto Olvenstedter Str.
   81.6 km   Continue onto Ernst-Reuter-Allee
   82.4 km   Turn right onto Ulrichpl.
   82.6 km   Turn right onto Breiter Weg
   82.9 km   Turn left onto Erhard-Hübener-Platz
  ★ 83.0 km  [note] Magdeburg
   83.1 km   Turn left onto Regierungsstraße
   83.2 km   Turn right onto Große Klosterstraße
   83.2 km   Slight left onto Prämonstratenserberg
   83.4 km   Turn left to stay on Prämonstratenserberg
   83.4 km   Sharp right
   83.5 km   Turn right
   83.6 km   Turn left
   83.7 km   Turn left
   84.3 km   Turn right onto Petriförder
   84.3 km   Turn left
