S' HERTOGENBOSCH - GORINCHEM ENG 2023 TOURGUIDE ONLY    43.3 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn right onto Visstraat
    0.2 km   At roundabout, take exit 2
    0.3 km   Turn left
    0.8 km   Turn right
    1.5 km   At roundabout, take exit 3 onto Kooikersweg
    2.4 km   At roundabout, take exit 2
    2.4 km   Turn left
    2.6 km   At roundabout, take exit 2
    3.5 km   Turn left onto Kruiskampsingel
    3.5 km   Turn left onto Kruiskampsingel
    3.8 km   Turn right onto Kruiskamppad
    4.2 km   Turn right onto Kruiskamppad
    4.4 km   Turn slight left onto Meerheuvelweg
    4.8 km   Turn sharp right onto De Gemeint
    5.6 km   Turn left onto Engelenseweg
    5.6 km   Turn right onto Voordijk (follow 1.6 km)
    7.2 km   Keep right onto Inlaagdijk (follow 1.1 km)
    8.3 km   Turn right onto Inlaagdijk
    8.4 km   Turn left onto Oude Haven
    8.5 km   Turn left onto Meester Prinsenstraat
    9.0 km   Turn right onto Haarsteegsestraat (follow 1.1 km)
   10.1 km   Turn left
   10.1 km   Turn left
   10.2 km   Turn right onto De Hoeven (follow 1.3 km)
   11.5 km   Turn right onto Het Zand
   12.0 km   Turn right onto Het Zand
   12.1 km   Turn left
   12.7 km   Turn left onto Veldweg (follow 1.3 km)
   14.0 km   Turn right onto Hoofdstraat
   14.4 km   Turn left
   15.2 km   Turn sharp left
   15.5 km   Turn right onto Herptsestraat
   15.6 km   Turn slight left onto Demer
   15.9 km   Turn right onto Lombardstraat
   16.1 km   Turn sharp right onto Botermarkt
   16.2 km   Turn left onto Nieuwstraat
   16.3 km   Keep right onto Stadshaven
  ★ 16.3 km  [coffee] City centre Heusden
   16.3 km   Turn left onto Drietrompetterstraat
   16.4 km   Turn slight right onto Wijksestraat
   16.5 km   Turn right onto Wijksestraat
   16.5 km   Turn left onto Burchtplein
   16.6 km   Turn slight left onto Burchtplein
   16.6 km   Turn right onto Hertogin Johanna van Brabantstraat
   17.0 km   Turn right onto Garnizoenstraat
   17.4 km   Turn right
   17.5 km   Make a U-turn
   17.6 km   Turn right onto Steenweg
   17.7 km   Turn sharp right (follow 1.0 km)
   18.7 km   Turn left onto Grotestraat
   19.0 km   At roundabout, take exit 1 onto Heesbeenseweg
   19.6 km   Turn left
   19.8 km   Keep left onto N267
   20.3 km   Turn sharp right onto Kattendijk
   20.8 km   Turn right onto De Kromme Nol
   20.8 km   Turn left onto Maasdijk (follow 8.0 km)
   28.8 km   Keep left onto Hoge Maasdijk
   29.1 km   Turn slight left onto Hoge Maasdijk (follow 1.7 km)
   30.8 km   Turn right onto Hoge Maasdijk (follow 1.1 km)
   31.9 km   Turn right onto Maasdijk
   32.0 km   Turn sharp right onto Wilhelminasluis (follow 1.6 km)
   33.6 km   Turn left onto Schouwendijk (follow 4.4 km)
  ★ 37.2 km  [see] Slot Loevenstein
   38.0 km   Continue onto Voet-fietsveer Woudrichem
   38.5 km   Turn right onto Vissersdijk
   38.7 km   Turn right onto Kerkstraat
   38.8 km   Keep left onto Gorinchem-Woudrichem (follow 2.5 km)
   41.3 km   Turn right onto Buiten de Waterpoort
   41.4 km   Continue onto Eind
   41.6 km   Turn left onto Appeldijk
   42.1 km   Turn left onto Korenbrugstraat
   42.3 km   Turn right onto Paardenwater
   42.7 km   Continue onto Stoep van Ceelen
   42.7 km   At Eike's Hof, take the 3rd exit onto Concordiaweg
   43.0 km   Turn right onto Handelskade
  ★ 43.3 km  [dock/stay] Docking Gorinchem (Fiep)
