ÉPÉNANCOURT - PONT-L'ÉVÊQUE (VIA HAM)    54.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] Drop-off Épénancourt
    2.1 km   Slight left (follow 2.9 km)
    5.0 km   Turn right
    5.1 km   Turn right; cross bridge
    5.6 km   Bear left
    6.0 km   Turn sharp right (follow 2.8 km)
    8.8 km   Turn sharp right onto Rue de Matigny
    9.5 km   Turn left onto Rue Du Haut (follow 4.7 km)
  ★ 9.6 km  [coffee] Café Tabac de Voyennes
   14.1 km   Turn left onto D 930 (follow 1.1 km)
   15.3 km   Turn right
   15.9 km   Turn left onto Rue Nouvelle
   16.7 km   Turn left onto Rue Sommier
   17.0 km   Turn right onto Rue de la Paix (follow 1.3 km)
   18.3 km   Turn left onto D 932
   19.1 km   Turn left onto Rue du Général Foy
  ★ 19.5 km  [rest_stop] picnic in park, no toilet
  ★ 19.6 km  [note] church with crypt — (+33 0)3 23 81 01 11
   19.6 km   Continue onto Rue Salvador Allende, D 930
   20.0 km   Make a U-turn onto Rue Salvador Allende, D 930
  ★ 20.0 km  [coffee] Le Saint Sulpice
   20.3 km   Turn right onto Boulevard du Général de Gaulle, D 930
   20.9 km   At roundabout, take exit 1 onto Rue de Noyon, D 930
   21.3 km   At roundabout, take exit 2 onto D 932
   21.9 km   Turn left onto Chemin de la Justice
   22.2 km   Turn around
  ★ 22.2 km  [monument] British - German military cemetery
   22.5 km   Turn right to Rue de Paris, D 932
   22.9 km   Turn left to D 186 (follow 1.7 km)
   24.5 km   Bear left onto Rue Jean Moulin (follow 2.3 km)
   26.8 km   Bear right onto Rue de Ham
   27.2 km   Turn left onto Grande Rue
   27.4 km   Bear right onto Grande Rue (follow 1.5 km)
  ★ 27.7 km  [coffee] Esmery Grill — 11:00 - 14:00
closed on Monday
  ★ 28.5 km  [shopping] Small local honey  shop
   28.9 km   Bear left (follow 3.3 km)
   32.2 km   Sharp left onto Rue du Cauquis
   32.5 km   Turn right onto Rue du Cauquis
   32.8 km   Turn left onto Rue de la Forêt (follow 2.9 km)
   35.7 km   Turn right onto Rue de l'Église (follow 2.8 km)
   38.5 km   Keep right onto Rue de Beaulieu
   39.0 km   Turn left onto Voie Verte Trans'Oise (follow 10.8 km)
   49.7 km   Turn sharp left onto Rue du Port
  ★ 49.7 km  [dock/stay] Alternative docking Noyon
   50.0 km   Turn right onto Rue du Canal du Nord
   50.2 km   Turn right
   50.3 km   Turn right onto Rue du Canal du Nord
   51.0 km   Turn left onto Rue du Lieutenant Colonel Trousselle
   51.1 km   Turn right onto Rue du Lieutenant Colonel Trousselle
   51.4 km   Turn right onto Rue Albert de Mun
   51.5 km   Turn left onto Rue de Paris
   51.5 km   Turn right onto Place Cordouen
   51.6 km   Keep left onto Place Bertrand Labarre
   51.7 km   Make a U-turn onto Place Bertrand Labarre
  ★ 51.7 km  [note] Tourist office — Good spot for parking bikes
  ★ 51.7 km  [bike_parking] Tourist office — Good spot for parking bikes
  ★ 51.7 km  [see] Noyon cathedral
   51.9 km   Turn left
   52.4 km   Turn right (follow 1.0 km)
   53.4 km   Turn slight left onto Rue de la Libération, D 145
   54.1 km   Turn right onto Place des Tilleuls
  ★ 54.6 km  [dock/stay] Docking Pont-l'Évêque
