id_a,id_b,name_a,name_b,type_a,type_b,distance_m,similarity
cafe-spaarndam,caf-spaarndam,Cafe Spaarndam,Café Spaarndam,Bar,Bar,267,1.0
ch-teau-de-vaux-le-vicomte,chateau-de-vaux-le-vicomte,Château de Vaux-le-Vicomte,Chateau de Vaux-le-Vicomte,Viewpoint,Information,175,1.0
cath-drale-saint-tienne-d-auxerre,cathedrale-saint-etienne-d-auxerre,Cathédrale Saint-Étienne d'Auxerre,Cathedrale Saint-Etienne d'Auxerre,Monument,Monument,38,1.0
st-anna-tunnel-antwerp,st-annatunnel-antwerp,St Anna tunnel Antwerp,St AnnaTunnel Antwerp,Information,Information,280,0.98
old-harbor-enkhuizen,old-harbour-enkhuizen,Old Harbor Enkhuizen,Old Harbour Enkhuizen,Bar,Bar,40,0.98
karlstadt-old-city-centre,karlstradt-old-city-centre,Karlstadt Old City Centre,Karlstradt old city centre,Coffee,Coffee,38,0.98
kreekrak-schiffschleuse,kreekrak-schiffschleusen,Kreekrak Schiffschleuse,Kreekrak Schiffschleusen,Information,Information,100,0.98
4-windm-hle-groot-ammers,4-windm-hlen-groot-ammers,4 Windmühle Groot Ammers,4 Windmühlen Groot Ammers,Viewpoint,Viewpoint,116,0.98
migennes-pick-up-drop-off,migenne-pick-up-drop-off,Migennes Pick up / Drop off,Migenne Pick up / drop off,Lodging,Lodging,216,0.98
eisschnelllaufstadion,eisschnellaufstadion,Eisschnelllaufstadion,Eisschnellaufstadion,Information,Information,43,0.98
reil-restaurants,reil-restaurant,Reil restaurants,Reil Restaurant,Bar,Bar,33,0.97
caf-durgerdam,caf-s-durgerdam,Café Durgerdam,Cafés Durgerdam,Coffee,Coffee,75,0.97
mooring-helsing-r,mooring-helsingor,Mooring Helsingør,Mooring Helsingor,Lodging,Lodging,276,0.97
mijzerpoldertuin,mijzerepoldertuin,Mijzerpoldertuin,Mijzerepoldertuin,Information,Information,38,0.97
anlegestelle-oosterdok,0-anlegestelle-oosterdok,Anlegestelle Oosterdok,0 Anlegestelle Oosterdok,Lodging,Lodging,102,0.96
visitor-centre-kinderdijk,visitor-center-kinderdijk,Visitor Centre Kinderdijk,Visitor center Kinderdijk,Viewpoint,Coffee,131,0.96
cafes-avelgem,caf-avelgem,Cafes Avelgem,Café Avelgem,Coffee,Coffee,110,0.96
cafes-cambrai,cafe-cambrai,Cafes Cambrai,Cafe Cambrai,Coffee,Coffee,289,0.96
stevns-klint,stevens-klint,Stevns Klint,Stevens Klint,Information,Viewpoint,47,0.96
hannema-huis,hannemahuis,Hannema Huis,Hannemahuis,Information,Information,46,0.96
dampfmachinen-museum,dampfmaschinenmuseum,Dampfmachinen Museum,Dampfmaschinenmuseum,Viewpoint,Viewpoint,65,0.95
aanlegplaats-ruijterkade-oost,aanlegplaats-de-ruijterkade-oost,Aanlegplaats Ruijterkade Oost,Aanlegplaats De Ruijterkade Oost,Lodging,Lodging,68,0.95
maastunnel,maas-tunnel,Maastunnel,Maas Tunnel,Information,Information,58,0.95
bar-du-chateau-fort,bar-du-chateau-port,Bar du Chateau Fort,Bar du Chateau Port,Coffee,Coffee,72,0.95
christmass-postoffice,christmaspostoffice,Christmass postoffice,Christmaspostoffice,Viewpoint,Viewpoint,105,0.95
pont-naar-centraal-station,pont-f3-naar-centraal-station,Pont naar Centraal Station,Pont F3 naar Centraal Station,Ferry,Ferry,141,0.95
aqu-dukt-galamadammen,aquaduct-galamadammen,Aquädukt Galamadammen,Aquaduct Galamadammen,Viewpoint,Viewpoint,48,0.95
docking-pont-sainte-maxence-lock,docking-pont-ste-maxence-lock,Docking Pont-Sainte-Maxence (lock),Docking Pont-Ste-Maxence (lock),Lodging,Lodging,32,0.95
