id,issue,detail
drachenfels-drachenburg-castle,missing_coords,
linz-am-rhein,missing_coords,
rhine-ferry-linz-remagen,missing_coords,
andernach-geyser,missing_coords,
deutsches-eck-koblenz,missing_coords,
ehrenbreitstein-fortress-koblenz,missing_coords,
stolzenfels-castle-koblenz,missing_coords,
vierseenblick-gedeonseck-boppard,missing_coords,
winningen,missing_coords,
kobern-gondorf,missing_coords,
terraced-vineyard-wine-tavern-strau-wirtschaft,missing_coords,
sharp-left,far_from_own_route,776 km from 42324224.json's centroid
